"Step","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MAX"
"0","-769.5","-769.5","-769.5","-367","-367","-367","-580.5","-580.5","-580.5","-449.5","-449.5","-449.5","-397","-397","-397","-776.5","-776.5","-776.5"
"1","-747.9","-747.9","-747.9","-383.3","-383.3","-383.3","-568.4","-568.4","-568.4","-535.9","-535.9","-535.9","-432.4","-432.4","-432.4","-748.5","-748.5","-748.5"
"2","-825.6","-825.6","-825.6","-412.7","-412.7","-412.7","-596.7","-596.7","-596.7","-535.7","-535.7","-535.7","-496.6","-496.6","-496.6","-750.9","-750.9","-750.9"
"3","-707","-707","-707","-455.4","-455.4","-455.4","-583","-583","-583","-528.6","-528.6","-528.6","-460.3","-460.3","-460.3","-691.4","-691.4","-691.4"
"4","-829.2","-829.2","-829.2","-541.7","-541.7","-541.7","-564.2","-564.2","-564.2","-466.1","-466.1","-466.1","-406.4","-406.4","-406.4","-752.8","-752.8","-752.8"
"5","-674.7","-674.7","-674.7","-412.4","-412.4","-412.4","-549.4","-549.4","-549.4","-587.6","-587.6","-587.6","-435.5","-435.5","-435.5","-732.9","-732.9","-732.9"
"6","-652.1","-652.1","-652.1","-394.4","-394.4","-394.4","-584.2","-584.2","-584.2","-544.2","-544.2","-544.2","-468.9","-468.9","-468.9","-701.3","-701.3","-701.3"
"7","-823.2","-823.2","-823.2","-453.4","-453.4","-453.4","-560.7","-560.7","-560.7","-566.5","-566.5","-566.5","-532.3","-532.3","-532.3","-675.2","-675.2","-675.2"
"8","-738.6","-738.6","-738.6","-551.7","-551.7","-551.7","-511.1","-511.1","-511.1","-573.6","-573.6","-573.6","-414.8","-414.8","-414.8","-732.1","-732.1","-732.1"
"9","-765.6","-765.6","-765.6","-422.1","-422.1","-422.1","-538.5","-538.5","-538.5","-585.8","-585.8","-585.8","-444.2","-444.2","-444.2","-786.1","-786.1","-786.1"
