"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return__MAX"
"0","-437.1","-437.1","-437.1","-409.7","-409.7","-409.7","-469.6","-469.6","-469.6","-368.7","-368.7","-368.7"
"1","-355.8","-355.8","-355.8","-467.4","-467.4","-467.4","-442.6","-442.6","-442.6","-392.6","-392.6","-392.6"
"2","-430.9","-430.9","-430.9","-458.4","-458.4","-458.4","-453","-453","-453","-391.1","-391.1","-391.1"
"3","-425.8","-425.8","-425.8","-393.9","-393.9","-393.9","-459.1","-459.1","-459.1","-426.9","-426.9","-426.9"
"4","-408.1","-408.1","-408.1","-468.8","-468.8","-468.8","-453.3","-453.3","-453.3","-456.5","-456.5","-456.5"
"5","-406.8","-406.8","-406.8","-416","-416","-416","-376.3","-376.3","-376.3","-441.7","-441.7","-441.7"
"6","-433.1","-433.1","-433.1","-380.3","-380.3","-380.3","-360.3","-360.3","-360.3","-396.6","-396.6","-396.6"
"7","-395.3","-395.3","-395.3","-505.5","-505.5","-505.5","-468.5","-468.5","-468.5","-424","-424","-424"
"8","-384.7","-384.7","-384.7","-487.6","-487.6","-487.6","-425.2","-425.2","-425.2","-478.9","-478.9","-478.9"
"9","-472.2","-472.2","-472.2","-500.1","-500.1","-500.1","-371.9","-371.9","-371.9","-422.7","-422.7","-422.7"
"10","-376.6","-376.6","-376.6","-481.3","-481.3","-481.3","-464.2","-464.2","-464.2","-423.1","-423.1","-423.1"
"11","-351","-351","-351","-395.8","-395.8","-395.8","-438.2","-438.2","-438.2","-378.5","-378.5","-378.5"
"12","-389","-389","-389","-465.6","-465.6","-465.6","-397.1","-397.1","-397.1","-416.5","-416.5","-416.5"
"13","-376.4","-376.4","-376.4","-432.2","-432.2","-432.2","-375.6","-375.6","-375.6","-436.7","-436.7","-436.7"
"14","-391.1","-391.1","-391.1","-406.9","-406.9","-406.9","-388.4","-388.4","-388.4","-425.2","-425.2","-425.2"
"15","-384.8","-384.8","-384.8","-450","-450","-450","-452.4","-452.4","-452.4","-400.3","-400.3","-400.3"
"16","-363","-363","-363","-523.4","-523.4","-523.4","-447.6","-447.6","-447.6","-429.2","-429.2","-429.2"
"17","-447.3","-447.3","-447.3","-488.5","-488.5","-488.5","-460.5","-460.5","-460.5","-376.6","-376.6","-376.6"
"18","-389.2","-389.2","-389.2","-481.2","-481.2","-481.2","-394.8","-394.8","-394.8","-428.1","-428.1","-428.1"
"19","-397.1","-397.1","-397.1","-460.7","-460.7","-460.7","-410.4","-410.4","-410.4","-427.9","-427.9","-427.9"
"20","-475.4","-475.4","-475.4","-454.6","-454.6","-454.6","-394.9","-394.9","-394.9","-364.8","-364.8","-364.8"
"21","-373.3","-373.3","-373.3","-421.6","-421.6","-421.6","-432.6","-432.6","-432.6","-433.3","-433.3","-433.3"
"22","-399.5","-399.5","-399.5","-503.5","-503.5","-503.5","-357.4","-357.4","-357.4","-399.8","-399.8","-399.8"
"23","-453.2","-453.2","-453.2","-484.2","-484.2","-484.2","-341.4","-341.4","-341.4","-411.2","-411.2","-411.2"
"24","-435","-435","-435","-441.7","-441.7","-441.7","-439.1","-439.1","-439.1","-371.9","-371.9","-371.9"
"25","-429.9","-429.9","-429.9","-419.1","-419.1","-419.1","-388.6","-388.6","-388.6","-416.6","-416.6","-416.6"
"26","-454.8","-454.8","-454.8","-398.4","-398.4","-398.4","-443.4","-443.4","-443.4","-400.3","-400.3","-400.3"
"27","-397.5","-397.5","-397.5","-475.2","-475.2","-475.2","-443","-443","-443","-340.1","-340.1","-340.1"
"28","-422.6","-422.6","-422.6","-417.8","-417.8","-417.8","-374.9","-374.9","-374.9","-372.2","-372.2","-372.2"
"29","-446.4","-446.4","-446.4","-466","-466","-466","-441.3","-441.3","-441.3","-392.4","-392.4","-392.4"
"30","-402.3","-402.3","-402.3","-435.2","-435.2","-435.2","-421.7","-421.7","-421.7","-409.6","-409.6","-409.6"
"31","-401.4","-401.4","-401.4","-404.3","-404.3","-404.3","-416.5","-416.5","-416.5","-346.6","-346.6","-346.6"
"32","-398.1","-398.1","-398.1","-361.8","-361.8","-361.8","-343.9","-343.9","-343.9","-418.2","-418.2","-418.2"
