"Step","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return__MAX"
"0","-793.3","-793.3","-793.3","-688","-688","-688"
"1","-600.4","-600.4","-600.4","-696.1","-696.1","-696.1"
"2","-677.8","-677.8","-677.8","-716.8","-716.8","-716.8"
"3","-714.1","-714.1","-714.1","-697.8","-697.8","-697.8"
"4","-752.3","-752.3","-752.3","-714","-714","-714"
"5","-795.7","-795.7","-795.7","-659.8","-659.8","-659.8"
"6","-779.7","-779.7","-779.7","-676.9","-676.9","-676.9"
"7","-695.4","-695.4","-695.4","-632.7","-632.7","-632.7"
"8","-758.1","-758.1","-758.1","-705.9","-705.9","-705.9"
"9","-770.3","-770.3","-770.3","-769.2","-769.2","-769.2"
"10","-874.3","-874.3","-874.3","-731.4","-731.4","-731.4"
"11","-750.1","-750.1","-750.1","-677.1","-677.1","-677.1"
"12","-713.6","-713.6","-713.6","-705.9","-705.9","-705.9"
"13","-681.9","-681.9","-681.9","-634.8","-634.8","-634.8"
"14","-744","-744","-744","-830.9","-830.9","-830.9"
"15","-707.1","-707.1","-707.1","-613.2","-613.2","-613.2"
"16","-683.5","-683.5","-683.5","-756.1","-756.1","-756.1"
"17","-757.8","-757.8","-757.8","-687","-687","-687"
"18","-739.3","-739.3","-739.3","-647.5","-647.5","-647.5"
"19","-686.2","-686.2","-686.2","-726.6","-726.6","-726.6"
"20","-677.2","-677.2","-677.2","-714.4","-714.4","-714.4"
"21","-703.7","-703.7","-703.7","-687.3","-687.3","-687.3"
"22","-727.5","-727.5","-727.5","-696.9","-696.9","-696.9"
"23","-730.8","-730.8","-730.8","-741.3","-741.3","-741.3"
"24","-760.8","-760.8","-760.8","-750.3","-750.3","-750.3"
"25","-730.5","-730.5","-730.5","-713.8","-713.8","-713.8"
"26","-688.9","-688.9","-688.9","-675.3","-675.3","-675.3"
"27","-663.4","-663.4","-663.4","-607.2","-607.2","-607.2"
"28","-712.3","-712.3","-712.3","-677.5","-677.5","-677.5"
"29","-790.9","-790.9","-790.9","-753.7","-753.7","-753.7"
"30","-729.9","-729.9","-729.9","-716.4","-716.4","-716.4"
"31","-780.5","-780.5","-780.5","-712.3","-712.3","-712.3"
"32","-719","-719","-719","-682.6","-682.6","-682.6"
"33","-726","-726","-726","-646.5","-646.5","-646.5"
"34","-705.1","-705.1","-705.1","-655.5","-655.5","-655.5"
"35","-613.8","-613.8","-613.8","-677","-677","-677"
"36","-673.2","-673.2","-673.2","-743.1","-743.1","-743.1"
"37","-683","-683","-683","-747.1","-747.1","-747.1"
"38","-699.1","-699.1","-699.1","-651","-651","-651"
"39","-702.3","-702.3","-702.3","-779.8","-779.8","-779.8"
"40","-690.5","-690.5","-690.5","-691.7","-691.7","-691.7"
"41","-746.1","-746.1","-746.1","-618.7","-618.7","-618.7"
"42","-716.9","-716.9","-716.9","-732.7","-732.7","-732.7"
"43","-694.4","-694.4","-694.4","-766.3","-766.3","-766.3"
"44","-637.6","-637.6","-637.6","-654.2","-654.2","-654.2"
"45","-676.2","-676.2","-676.2","-726.8","-726.8","-726.8"
"46","-690.1","-690.1","-690.1","-633.8","-633.8","-633.8"
