"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MAX"
"0","-694.2","-694.2","-694.2","-829.6","-829.6","-829.6"
"1","-741.1","-741.1","-741.1","-744.7","-744.7","-744.7"
"2","-712.9","-712.9","-712.9","-761.3","-761.3","-761.3"
"3","-820.4","-820.4","-820.4","-827.2","-827.2","-827.2"
"4","-816.4","-816.4","-816.4","-628","-628","-628"
"5","-823.1","-823.1","-823.1","-686.5","-686.5","-686.5"
"6","-715.6","-715.6","-715.6","-734.5","-734.5","-734.5"
"7","-766.9","-766.9","-766.9","-716.6","-716.6","-716.6"
"8","-746.1","-746.1","-746.1","-735.4","-735.4","-735.4"
"9","-771","-771","-771","-719.3","-719.3","-719.3"
"10","-740.2","-740.2","-740.2","-730.7","-730.7","-730.7"
"11","-683.1","-683.1","-683.1","-664.5","-664.5","-664.5"
"12","-758.6","-758.6","-758.6","-723.8","-723.8","-723.8"
"13","-681.9","-681.9","-681.9","-699.8","-699.8","-699.8"
"14","-649.3","-649.3","-649.3","-655.8","-655.8","-655.8"
"15","-723.1","-723.1","-723.1","-687.3","-687.3","-687.3"
"16","-714","-714","-714","-760.2","-760.2","-760.2"
"17","-741.1","-741.1","-741.1","-755.7","-755.7","-755.7"
"18","-624","-624","-624","-720.4","-720.4","-720.4"
"19","-649.6","-649.6","-649.6","-706.4","-706.4","-706.4"
"20","-758.6","-758.6","-758.6","-683","-683","-683"
"21","-754.2","-754.2","-754.2","-635.8","-635.8","-635.8"
"22","-805.8","-805.8","-805.8","-695.1","-695.1","-695.1"
"23","-703.8","-703.8","-703.8","-734.4","-734.4","-734.4"
"24","-699.6","-699.6","-699.6","-689.8","-689.8","-689.8"
"25","-773.1","-773.1","-773.1","-763.5","-763.5","-763.5"
"26","-742.6","-742.6","-742.6","-659.9","-659.9","-659.9"
"27","-711.7","-711.7","-711.7","-760.5","-760.5","-760.5"
"28","-617.6","-617.6","-617.6","-740.4","-740.4","-740.4"
"29","-673","-673","-673","-706.1","-706.1","-706.1"
"30","-738.5","-738.5","-738.5","-768","-768","-768"
"31","-697.3","-697.3","-697.3","-733.8","-733.8","-733.8"
"32","-694.2","-694.2","-694.2","-710.4","-710.4","-710.4"
"33","-702.8","-702.8","-702.8","-743.3","-743.3","-743.3"
"34","-732.1","-732.1","-732.1","-733","-733","-733"
"35","-757.3","-757.3","-757.3","-713.1","-713.1","-713.1"
"36","-774.4","-774.4","-774.4","-630.3","-630.3","-630.3"
"37","-623.4","-623.4","-623.4","-723.5","-723.5","-723.5"
"38","-684.8","-684.8","-684.8","-670.5","-670.5","-670.5"
"39","-746.5","-746.5","-746.5","-733.9","-733.9","-733.9"
"40","-707","-707","-707","-657.6","-657.6","-657.6"
"41","-710","-710","-710","-693.6","-693.6","-693.6"
"42","-709.1","-709.1","-709.1","-733.6","-733.6","-733.6"
"43","-659","-659","-659","-677.1","-677.1","-677.1"
"44","-715.1","-715.1","-715.1","-656.4","-656.4","-656.4"
"45","-658","-658","-658","-725.4","-725.4","-725.4"
"46","-688.7","-688.7","-688.7","-691.2","-691.2","-691.2"
"47","-693.3","-693.3","-693.3","-692.1","-692.1","-692.1"
"48","-687.2","-687.2","-687.2","-712.6","-712.6","-712.6"
"49","-750.6","-750.6","-750.6","-754.3","-754.3","-754.3"
"50","-785.1","-785.1","-785.1","-693.4","-693.4","-693.4"
"51","-609.8","-609.8","-609.8","-736.5","-736.5","-736.5"
"52","-655.4","-655.4","-655.4","-637.3","-637.3","-637.3"
"53","-714.4","-714.4","-714.4","-748","-748","-748"
"54","-689.5","-689.5","-689.5","-638.7","-638.7","-638.7"
"55","-712.6","-712.6","-712.6","-690.8","-690.8","-690.8"
"56","-767.5","-767.5","-767.5","-695.5","-695.5","-695.5"
"57","-691.4","-691.4","-691.4","-609.9","-609.9","-609.9"
"58","-742.1","-742.1","-742.1","-673.9","-673.9","-673.9"
"59","-753","-753","-753","-679.6","-679.6","-679.6"
"60","-665.6","-665.6","-665.6","-681.5","-681.5","-681.5"
"61","-692.6","-692.6","-692.6","-753.7","-753.7","-753.7"
"62","-776.1","-776.1","-776.1","-682.5","-682.5","-682.5"
"63","-712.3","-712.3","-712.3","-733.8","-733.8","-733.8"
"64","-694.7","-694.7","-694.7","-650.7","-650.7","-650.7"
"65","-633.4","-633.4","-633.4","-668.3","-668.3","-668.3"
"66","-749.4","-749.4","-749.4","-709.7","-709.7","-709.7"
"67","-767.1","-767.1","-767.1","-694.2","-694.2","-694.2"
"68","-744.7","-744.7","-744.7","-610.2","-610.2","-610.2"
"69","-671.4","-671.4","-671.4","-725.6","-725.6","-725.6"
"70","-700.5","-700.5","-700.5","-810.3","-810.3","-810.3"
"71","-674.8","-674.8","-674.8","-706.5","-706.5","-706.5"
"72","-679.1","-679.1","-679.1","-706.5","-706.5","-706.5"
"73","-701.2","-701.2","-701.2","-759.7","-759.7","-759.7"
"74","-740","-740","-740","-680.5","-680.5","-680.5"
"75","-581","-581","-581","-700.8","-700.8","-700.8"
"76","-757.1","-757.1","-757.1","-663","-663","-663"
"77","-696.8","-696.8","-696.8","-741.9","-741.9","-741.9"
"78","-601.4","-601.4","-601.4","-723.3","-723.3","-723.3"
"79","-670.5","-670.5","-670.5","-712.8","-712.8","-712.8"
"80","-729.6","-729.6","-729.6","-664.5","-664.5","-664.5"
"81","-707.5","-707.5","-707.5","-740.2","-740.2","-740.2"
"82","-683.2","-683.2","-683.2","-675.5","-675.5","-675.5"
"83","-734.9","-734.9","-734.9","-704","-704","-704"
"84","-793.2","-793.2","-793.2","-677.1","-677.1","-677.1"
"85","-804.5","-804.5","-804.5","-671.8","-671.8","-671.8"
"86","-722.1","-722.1","-722.1","-710.7","-710.7","-710.7"
"87","-732.3","-732.3","-732.3","-747.7","-747.7","-747.7"
"88","-618.8","-618.8","-618.8","-737.5","-737.5","-737.5"
"89","-665.2","-665.2","-665.2","-700.8","-700.8","-700.8"
"90","-680.9","-680.9","-680.9","-757.8","-757.8","-757.8"
"91","-756.1","-756.1","-756.1","-685.8","-685.8","-685.8"
"92","-737","-737","-737","-662.5","-662.5","-662.5"
"93","-703.9","-703.9","-703.9","-715.1","-715.1","-715.1"
"94","-679","-679","-679","-710.6","-710.6","-710.6"
"95","-704.6","-704.6","-704.6","-771","-771","-771"
"96","-708.6","-708.6","-708.6","-678.7","-678.7","-678.7"
"97","-561.8","-561.8","-561.8","-672.7","-672.7","-672.7"
"98","-631.1","-631.1","-631.1","-658.6","-658.6","-658.6"
