epoch,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
1,-552.1,-552.1,-552.1,-556.4,-556.4,-556.4
2,-542.9,-542.9,-542.9,-508.8,-508.8,-508.8
3,-563.8,-563.8,-563.8,-522.4,-522.4,-522.4
4,-574.9,-574.9,-574.9,-581.3,-581.3,-581.3
5,-549.9,-549.9,-549.9,-640,-640,-640
6,-503.1,-503.1,-503.1,-622.6,-622.6,-622.6
7,-515.1,-515.1,-515.1,-561.5,-561.5,-561.5
8,-520.9,-520.9,-520.9,-572.4,-572.4,-572.4
9,-550.3,-550.3,-550.3,-639.2,-639.2,-639.2
10,-522.4,-522.4,-522.4,-556.5,-556.5,-556.5
11,-582.9,-582.9,-582.9,-507,-507,-507
12,-436.1,-436.1,-436.1,-521.4,-521.4,-521.4
13,-583.5,-583.5,-583.5,-527,-527,-527
14,-511.4,-511.4,-511.4,-526.5,-526.5,-526.5
15,-514.2,-514.2,-514.2,-586.1,-586.1,-586.1
16,-596.3,-596.3,-596.3,-596.1,-596.1,-596.1
17,-461.9,-461.9,-461.9,-542,-542,-542
18,-503.3,-503.3,-503.3,-521.8,-521.8,-521.8
19,-499.1,-499.1,-499.1,-560,-560,-560
20,-528.4,-528.4,-528.4,-549.7,-549.7,-549.7
21,-513,-513,-513,-582.4,-582.4,-582.4
22,-499.6,-499.6,-499.6,-525.1,-525.1,-525.1
23,-544.4,-544.4,-544.4,-576.8,-576.8,-576.8
24,-531.2,-531.2,-531.2,-603.9,-603.9,-603.9
25,-563.2,-563.2,-563.2,-498.7,-498.7,-498.7
26,-525,-525,-525,-490.2,-490.2,-490.2
27,-501.1,-501.1,-501.1,-582.3,-582.3,-582.3
28,-563.7,-563.7,-563.7,-537.7,-537.7,-537.7
29,-493,-493,-493,-519.5,-519.5,-519.5
30,-566.2,-566.2,-566.2,-497.4,-497.4,-497.4
31,-578.2,-578.2,-578.2,-532.7,-532.7,-532.7
32,-565.6,-565.6,-565.6,-533.5,-533.5,-533.5
33,-491,-491,-491,-530.8,-530.8,-530.8
34,-554.9,-554.9,-554.9,-585.5,-585.5,-585.5
35,-510.5,-510.5,-510.5,-494.8,-494.8,-494.8
36,-558.7,-558.7,-558.7,-526.7,-526.7,-526.7
37,-543.7,-543.7,-543.7,-517.3,-517.3,-517.3
38,-553.1,-553.1,-553.1,-513.5,-513.5,-513.5
39,-590.5,-590.5,-590.5,-516.6,-516.6,-516.6
40,-528.8,-528.8,-528.8,-504.3,-504.3,-504.3
41,-491.7,-491.7,-491.7,-483.5,-483.5,-483.5
42,-511.3,-511.3,-511.3,-524.9,-524.9,-524.9
43,-605.8,-605.8,-605.8,-529.1,-529.1,-529.1
44,-486.6,-486.6,-486.6,-493.7,-493.7,-493.7
45,-542.7,-542.7,-542.7,-504,-504,-504
46,-510,-510,-510,-475.8,-475.8,-475.8
47,-499.5,-499.5,-499.5,-476.8,-476.8,-476.8
48,-542.1,-542.1,-542.1,-471,-471,-471
49,-573.2,-573.2,-573.2,-514.6,-514.6,-514.6
50,-509.7,-509.7,-509.7,-563.1,-563.1,-563.1
51,-441.5,-441.5,-441.5,-539.9,-539.9,-539.9
52,-515,-515,-515,-530.1,-530.1,-530.1
53,-555.2,-555.2,-555.2,-484.4,-484.4,-484.4
54,-543.3,-543.3,-543.3,-515.6,-515.6,-515.6
55,-593.2,-593.2,-593.2,-471.1,-471.1,-471.1
56,-539.5,-539.5,-539.5,-420.6,-420.6,-420.6
57,-453.2,-453.2,-453.2,-531.7,-531.7,-531.7
58,-530.3,-530.3,-530.3,-466.8,-466.8,-466.8
59,-514.3,-514.3,-514.3,-498.3,-498.3,-498.3
60,-518.7,-518.7,-518.7,-476.3,-476.3,-476.3
61,-598.1,-598.1,-598.1,-486,-486,-486
62,-596.5,-596.5,-596.5,-512.9,-512.9,-512.9
63,-469.5,-469.5,-469.5,-516.1,-516.1,-516.1
64,-504.4,-504.4,-504.4,-524.9,-524.9,-524.9
65,-566.7,-566.7,-566.7,-489.8,-489.8,-489.8
66,-539.7,-539.7,-539.7,-497,-497,-497
67,-563,-563,-563,-422.7,-422.7,-422.7
68,-527.3,-527.3,-527.3,-476.3,-476.3,-476.3
69,-526.6,-526.6,-526.6,-509.9,-509.9,-509.9
70,-567.3,-567.3,-567.3,-403.4,-403.4,-403.4
71,-513.1,-513.1,-513.1,-492.6,-492.6,-492.6
72,-531.3,-531.3,-531.3,-525.1,-525.1,-525.1
73,-493.3,-493.3,-493.3,-470.2,-470.2,-470.2
74,-558.6,-558.6,-558.6,-438.1,-438.1,-438.1
75,-529.8,-529.8,-529.8,-433.1,-433.1,-433.1
76,-561.7,-561.7,-561.7,-470.2,-470.2,-470.2
77,-568.4,-568.4,-568.4,-502.6,-502.6,-502.6
78,-472.2,-472.2,-472.2,-455.8,-455.8,-455.8
79,-467.9,-467.9,-467.9,-425.6,-425.6,-425.6
80,-571.2,-571.2,-571.2,-485.3,-485.3,-485.3
81,-488.5,-488.5,-488.5,-449.5,-449.5,-449.5
82,-515.2,-515.2,-515.2,-437.1,-437.1,-437.1
83,-544.1,-544.1,-544.1,-536.6,-536.6,-536.6
84,-544.3,-544.3,-544.3,-458.1,-458.1,-458.1
85,-522.5,-522.5,-522.5,-442.8,-442.8,-442.8
86,-472.4,-472.4,-472.4,-430.9,-430.9,-430.9
87,-524.2,-524.2,-524.2,-480.3,-480.3,-480.3
88,-574.9,-574.9,-574.9,-433.6,-433.6,-433.6
89,-461.8,-461.8,-461.8,-487.6,-487.6,-487.6
90,-503.2,-503.2,-503.2,-437.4,-437.4,-437.4
91,-506.5,-506.5,-506.5,-508.4,-508.4,-508.4
92,-544.6,-544.6,-544.6,-462.1,-462.1,-462.1
93,-507.3,-507.3,-507.3,-462,-462,-462
94,-562.4,-562.4,-562.4,-481.2,-481.2,-481.2
95,-523.4,-523.4,-523.4,-408.3,-408.3,-408.3
96,-552.2,-552.2,-552.2,-459.1,-459.1,-459.1
97,-505.3,-505.3,-505.3,-456,-456,-456
98,-504,-504,-504,-496.2,-496.2,-496.2
99,-453.6,-453.6,-453.6,-416.2,-416.2,-416.2
