"epoch","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX"
"1","0","0","0","7.076923076923077","7.076923076923077","7.076923076923077","0","0","0","4","4","4","0","0","0","5.230769230769231","5.230769230769231","5.230769230769231","0","0","0","6.153846153846154","6.153846153846154","6.153846153846154","0","0","0","5.846153846153846","5.846153846153846","5.846153846153846","0","0","0","6.153846153846154","6.153846153846154","6.153846153846154"
"2","2","2","2","6.461538461538462","6.461538461538462","6.461538461538462","2","2","2","7.384615384615385","7.384615384615385","7.384615384615385","2","2","2","6.769230769230769","6.769230769230769","6.769230769230769","2","2","2","7.076923076923077","7.076923076923077","7.076923076923077","3","3","3","5.846153846153846","5.846153846153846","5.846153846153846","4","4","4","4.769230769230769","4.769230769230769","4.769230769230769"
"3","4","4","4","7.846153846153846","7.846153846153846","7.846153846153846","4","4","4","6.769230769230769","6.769230769230769","6.769230769230769","4","4","4","5.230769230769231","5.230769230769231","5.230769230769231","4","4","4","5.538461538461538","5.538461538461538","5.538461538461538","6","6","6","7.846153846153846","7.846153846153846","7.846153846153846","8","8","8","6.461538461538462","6.461538461538462","6.461538461538462"
"4","6","6","6","7.538461538461538","7.538461538461538","7.538461538461538","6","6","6","7.076923076923077","7.076923076923077","7.076923076923077","6","6","6","9.076923076923077","9.076923076923077","9.076923076923077","6","6","6","7.076923076923077","7.076923076923077","7.076923076923077","9","9","9","8.923076923076923","8.923076923076923","8.923076923076923","12","12","12","6.153846153846154","6.153846153846154","6.153846153846154"
"5","8","8","8","6.153846153846154","6.153846153846154","6.153846153846154","8","8","8","6.153846153846154","6.153846153846154","6.153846153846154","8","8","8","6.769230769230769","6.769230769230769","6.769230769230769","8","8","8","6.153846153846154","6.153846153846154","6.153846153846154","12","12","12","6.923076923076923","6.923076923076923","6.923076923076923","16","16","16","6.615384615384615","6.615384615384615","6.615384615384615"
"6","10","10","10","8.307692307692308","8.307692307692308","8.307692307692308","10","10","10","7.076923076923077","7.076923076923077","7.076923076923077","10","10","10","8.461538461538462","8.461538461538462","8.461538461538462","10","10","10","6.153846153846154","6.153846153846154","6.153846153846154","15","15","15","7.538461538461538","7.538461538461538","7.538461538461538","20","20","20","7.6923076923076925","7.6923076923076925","7.6923076923076925"
"7","12","12","12","8.307692307692308","8.307692307692308","8.307692307692308","12","12","12","8","8","8","12","12","12","6.923076923076923","6.923076923076923","6.923076923076923","12","12","12","7.076923076923077","7.076923076923077","7.076923076923077","18","18","18","8.76923076923077","8.76923076923077","8.76923076923077","24","24","24","6.923076923076923","6.923076923076923","6.923076923076923"
"8","14","14","14","8","8","8","14","14","14","6.153846153846154","6.153846153846154","6.153846153846154","14","14","14","7.230769230769231","7.230769230769231","7.230769230769231","14","14","14","5.230769230769231","5.230769230769231","5.230769230769231","21","21","21","8","8","8","28","28","28","8.153846153846153","8.153846153846153","8.153846153846153"
"9","16","16","16","7.538461538461538","7.538461538461538","7.538461538461538","16","16","16","7.384615384615385","7.384615384615385","7.384615384615385","16","16","16","8.461538461538462","8.461538461538462","8.461538461538462","16","16","16","7.076923076923077","7.076923076923077","7.076923076923077","24","24","24","8.461538461538462","8.461538461538462","8.461538461538462","32","32","32","9.076923076923077","9.076923076923077","9.076923076923077"
"10","18","18","18","8.307692307692308","8.307692307692308","8.307692307692308","18","18","18","5.846153846153846","5.846153846153846","5.846153846153846","18","18","18","8.461538461538462","8.461538461538462","8.461538461538462","18","18","18","6.769230769230769","6.769230769230769","6.769230769230769","27","27","27","8.307692307692308","8.307692307692308","8.307692307692308","36","36","36","7.6923076923076925","7.6923076923076925","7.6923076923076925"
