"epoch","Foraging-medium-v0_magic_no_mFalse_vTrue_ming - _step","Foraging-medium-v0_magic_no_mFalse_vTrue_ming - _step__MIN","Foraging-medium-v0_magic_no_mFalse_vTrue_ming - _step__MAX","Foraging-medium-v0_magic_no_mFalse_vTrue_ming - episode_return","Foraging-medium-v0_magic_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-medium-v0_magic_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-medium-v0_commnet_no_mFalse_vTrue_ming - _step","Foraging-medium-v0_commnet_no_mFalse_vTrue_ming - _step__MIN","Foraging-medium-v0_commnet_no_mFalse_vTrue_ming - _step__MAX","Foraging-medium-v0_commnet_no_mFalse_vTrue_ming - episode_return","Foraging-medium-v0_commnet_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-medium-v0_commnet_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-medium-v0_tarmac_no_mFalse_vTrue_ming - _step","Foraging-medium-v0_tarmac_no_mFalse_vTrue_ming - _step__MIN","Foraging-medium-v0_tarmac_no_mFalse_vTrue_ming - _step__MAX","Foraging-medium-v0_tarmac_no_mFalse_vTrue_ming - episode_return","Foraging-medium-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-medium-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-medium-v0_ic3net_no_mFalse_vTrue_ming - _step","Foraging-medium-v0_ic3net_no_mFalse_vTrue_ming - _step__MIN","Foraging-medium-v0_ic3net_no_mFalse_vTrue_ming - _step__MAX","Foraging-medium-v0_ic3net_no_mFalse_vTrue_ming - episode_return","Foraging-medium-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-medium-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-medium-v0_tiecomm_no_mFalse_vTrue_ming - _step","Foraging-medium-v0_tiecomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-medium-v0_tiecomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-medium-v0_tiecomm_no_mFalse_vTrue_ming - episode_return","Foraging-medium-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-medium-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-medium-v0_teamcomm_no_mFalse_vTrue_ming - _step","Foraging-medium-v0_teamcomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-medium-v0_teamcomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-medium-v0_teamcomm_no_mFalse_vTrue_ming - episode_return","Foraging-medium-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-medium-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX"
"1","0","0","0","6.4","6.4","6.4","0","0","0","10","10","10","0","0","0","9.6","9.6","9.6","0","0","0","8","8","8","0","0","0","10.4","10.4","10.4","0","0","0","12","12","12"
"2","2","2","2","9.6","9.6","9.6","2","2","2","6.8","6.8","6.8","2","2","2","7.4","7.4","7.4","2","2","2","12","12","12","3","3","3","10","10","10","4","4","4","9.6","9.6","9.6"
"3","4","4","4","12","12","12","4","4","4","11","11","11","4","4","4","10.8","10.8","10.8","4","4","4","13.2","13.2","13.2","6","6","6","13","13","13","8","8","8","9.6","9.6","9.6"
"4","6","6","6","10.4","10.4","10.4","6","6","6","8","8","8","6","6","6","8","8","8","6","6","6","13.6","13.6","13.6","9","9","9","9.4","9.4","9.4","12","12","12","10.8","10.8","10.8"
"5","8","8","8","11.2","11.2","11.2","8","8","8","10","10","10","8","8","8","9.8","9.8","9.8","8","8","8","13","13","13","12","12","12","15.8","15.8","15.8","16","16","16","9.6","9.6","9.6"
"6","10","10","10","12.8","12.8","12.8","10","10","10","11.8","11.8","11.8","10","10","10","10.6","10.6","10.6","10","10","10","15","15","15","15","15","15","12.2","12.2","12.2","20","20","20","14.8","14.8","14.8"
"7","12","12","12","11.6","11.6","11.6","12","12","12","9","9","9","12","12","12","10.2","10.2","10.2","12","12","12","11.8","11.8","11.8","18","18","18","12.4","12.4","12.4","24","24","24","11","11","11"
"8","14","14","14","10.8","10.8","10.8","14","14","14","15","15","15","14","14","14","12.6","12.6","12.6","14","14","14","14.6","14.6","14.6","21","21","21","12.8","12.8","12.8","28","28","28","11","11","11"
"9","16","16","16","12.4","12.4","12.4","16","16","16","10","10","10","16","16","16","13.2","13.2","13.2","16","16","16","12","12","12","24","24","24","12.8","12.8","12.8","32","32","32","13.6","13.6","13.6"
"10","18","18","18","14.6","14.6","14.6","18","18","18","10.2","10.2","10.2","18","18","18","13.4","13.4","13.4","18","18","18","12.8","12.8","12.8","27","27","27","11.6","11.6","11.6","36","36","36","14.6","14.6","14.6"
"11","20","20","20","10.6","10.6","10.6","20","20","20","10","10","10","20","20","20","11.6","11.6","11.6","20","20","20","10.8","10.8","10.8","30","30","30","13","13","13","40","40","40","10.8","10.8","10.8"
"12","22","22","22","12.8","12.8","12.8","22","22","22","10.8","10.8","10.8","22","22","22","12.2","12.2","12.2","22","22","22","12.2","12.2","12.2","33","33","33","12.4","12.4","12.4","44","44","44","11.4","11.4","11.4"
"13","24","24","24","9.8","9.8","9.8","24","24","24","15.4","15.4","15.4","24","24","24","13","13","13","24","24","24","12","12","12","36","36","36","15.6","15.6","15.6","48","48","48","12.6","12.6","12.6"
"14","26","26","26","12.8","12.8","12.8","26","26","26","11.2","11.2","11.2","26","26","26","10.8","10.8","10.8","26","26","26","12.8","12.8","12.8","39","39","39","14.2","14.2","14.2","52","52","52","12.6","12.6","12.6"
"15","28","28","28","11.4","11.4","11.4","28","28","28","12.2","12.2","12.2","28","28","28","13.4","13.4","13.4","28","28","28","14","14","14","42","42","42","13.2","13.2","13.2","56","56","56","13","13","13"
"16","30","30","30","13.4","13.4","13.4","30","30","30","11.4","11.4","11.4","30","30","30","10.4","10.4","10.4","30","30","30","11","11","11","45","45","45","14","14","14","60","60","60","13.2","13.2","13.2"
"17","32","32","32","14","14","14","32","32","32","12","12","12","32","32","32","11.6","11.6","11.6","32","32","32","10.6","10.6","10.6","48","48","48","16.2","16.2","16.2","64","64","64","13","13","13"
"18","34","34","34","11.8","11.8","11.8","34","34","34","15.8","15.8","15.8","34","34","34","10.2","10.2","10.2","34","34","34","14","14","14","51","51","51","13.8","13.8","13.8","68","68","68","12.4","12.4","12.4"
"19","36","36","36","12","12","12","36","36","36","10","10","10","36","36","36","13.4","13.4","13.4","36","36","36","12.6","12.6","12.6","54","54","54","13","13","13","72","72","72","13.4","13.4","13.4"
"20","38","38","38","12.6","12.6","12.6","38","38","38","13.4","13.4","13.4","38","38","38","14.4","14.4","14.4","38","38","38","13.4","13.4","13.4","57","57","57","15.8","15.8","15.8","76","76","76","12.8","12.8","12.8"
"21","40","40","40","13","13","13","40","40","40","11","11","11","40","40","40","11.8","11.8","11.8","40","40","40","16.4","16.4","16.4","60","60","60","16","16","16","80","80","80","14.6","14.6","14.6"
"22","42","42","42","10.8","10.8","10.8","42","42","42","12.6","12.6","12.6","42","42","42","13.2","13.2","13.2","42","42","42","14.4","14.4","14.4","63","63","63","12.8","12.8","12.8","84","84","84","13.6","13.6","13.6"
"23","44","44","44","11.6","11.6","11.6","44","44","44","12.4","12.4","12.4","44","44","44","14","14","14","44","44","44","12.4","12.4","12.4","66","66","66","14.8","14.8","14.8","88","88","88","13.8","13.8","13.8"
"24","46","46","46","11.8","11.8","11.8","46","46","46","12.4","12.4","12.4","46","46","46","14.8","14.8","14.8","46","46","46","12.6","12.6","12.6","69","69","69","15.4","15.4","15.4","92","92","92","12","12","12"
"25","48","48","48","13.8","13.8","13.8","48","48","48","11.6","11.6","11.6","48","48","48","11.4","11.4","11.4","48","48","48","14.8","14.8","14.8","72","72","72","17.6","17.6","17.6","96","96","96","14","14","14"
"26","50","50","50","10.4","10.4","10.4","50","50","50","10.4","10.4","10.4","50","50","50","12.8","12.8","12.8","50","50","50","9.6","9.6","9.6","75","75","75","15.8","15.8","15.8","100","100","100","11.2","11.2","11.2"
"27","52","52","52","12","12","12","52","52","52","9.8","9.8","9.8","52","52","52","11.8","11.8","11.8","52","52","52","13.4","13.4","13.4","78","78","78","14.8","14.8","14.8","104","104","104","9.4","9.4","9.4"
"28","54","54","54","12.2","12.2","12.2","54","54","54","12.8","12.8","12.8","54","54","54","13.2","13.2","13.2","54","54","54","14.8","14.8","14.8","81","81","81","15.8","15.8","15.8","108","108","108","15.2","15.2","15.2"
"29","56","56","56","14","14","14","56","56","56","12.2","12.2","12.2","56","56","56","12.8","12.8","12.8","56","56","56","13.6","13.6","13.6","84","84","84","14.6","14.6","14.6","112","112","112","13.8","13.8","13.8"
"30","58","58","58","9.4","9.4","9.4","58","58","58","14.4","14.4","14.4","58","58","58","15.8","15.8","15.8","58","58","58","10","10","10","87","87","87","17.6","17.6","17.6","116","116","116","11.8","11.8","11.8"
"31","60","60","60","14.4","14.4","14.4","60","60","60","14.8","14.8","14.8","60","60","60","13.6","13.6","13.6","60","60","60","14.4","14.4","14.4","90","90","90","14","14","14","120","120","120","14.2","14.2","14.2"
"32","62","62","62","12.4","12.4","12.4","62","62","62","13.2","13.2","13.2","62","62","62","14.8","14.8","14.8","62","62","62","17","17","17","93","93","93","18","18","18","124","124","124","12","12","12"
"33","64","64","64","13.8","13.8","13.8","64","64","64","11.8","11.8","11.8","64","64","64","13","13","13","64","64","64","12.6","12.6","12.6","96","96","96","15.2","15.2","15.2","128","128","128","15","15","15"
"34","66","66","66","15.8","15.8","15.8","66","66","66","12","12","12","66","66","66","13.2","13.2","13.2","66","66","66","13.2","13.2","13.2","99","99","99","16.6","16.6","16.6","132","132","132","14","14","14"
"35","68","68","68","12","12","12","68","68","68","15","15","15","68","68","68","10.4","10.4","10.4","68","68","68","10.2","10.2","10.2","102","102","102","16.4","16.4","16.4","136","136","136","13.4","13.4","13.4"
"36","70","70","70","12.4","12.4","12.4","70","70","70","12.2","12.2","12.2","70","70","70","12.4","12.4","12.4","70","70","70","10","10","10","105","105","105","16","16","16","140","140","140","12.8","12.8","12.8"
"37","72","72","72","11.4","11.4","11.4","72","72","72","12","12","12","72","72","72","12","12","12","72","72","72","13.6","13.6","13.6","108","108","108","16.4","16.4","16.4","144","144","144","13.8","13.8","13.8"
"38","74","74","74","13.4","13.4","13.4","74","74","74","15.4","15.4","15.4","74","74","74","13.8","13.8","13.8","74","74","74","15.2","15.2","15.2","111","111","111","14.6","14.6","14.6","148","148","148","18","18","18"
"39","76","76","76","15","15","15","76","76","76","13.2","13.2","13.2","76","76","76","14.8","14.8","14.8","76","76","76","13.2","13.2","13.2","114","114","114","15.4","15.4","15.4","152","152","152","15.6","15.6","15.6"
"40","78","78","78","13.6","13.6","13.6","78","78","78","15.6","15.6","15.6","78","78","78","14.8","14.8","14.8","78","78","78","16.4","16.4","16.4","117","117","117","15.8","15.8","15.8","156","156","156","11.4","11.4","11.4"
"41","80","80","80","13.6","13.6","13.6","80","80","80","13.2","13.2","13.2","80","80","80","12.2","12.2","12.2","80","80","80","12.6","12.6","12.6","120","120","120","20.2","20.2","20.2","160","160","160","15.2","15.2","15.2"
"42","82","82","82","12","12","12","82","82","82","11.6","11.6","11.6","82","82","82","16.4","16.4","16.4","82","82","82","12.2","12.2","12.2","123","123","123","16.8","16.8","16.8","164","164","164","13.4","13.4","13.4"
"43","84","84","84","8.6","8.6","8.6","84","84","84","11","11","11","84","84","84","12.2","12.2","12.2","84","84","84","14.2","14.2","14.2","126","126","126","16.2","16.2","16.2","168","168","168","14.6","14.6","14.6"
"44","86","86","86","11.4","11.4","11.4","86","86","86","12.2","12.2","12.2","86","86","86","13.8","13.8","13.8","86","86","86","15.2","15.2","15.2","129","129","129","20.2","20.2","20.2","172","172","172","15.8","15.8","15.8"
"45","88","88","88","11.8","11.8","11.8","88","88","88","14.4","14.4","14.4","88","88","88","13.6","13.6","13.6","88","88","88","19","19","19","132","132","132","17.2","17.2","17.2","176","176","176","16","16","16"
"46","90","90","90","12","12","12","90","90","90","12.4","12.4","12.4","90","90","90","13","13","13","90","90","90","16.4","16.4","16.4","135","135","135","17","17","17","180","180","180","16.2","16.2","16.2"
"47","92","92","92","11.2","11.2","11.2","92","92","92","10.8","10.8","10.8","92","92","92","12.6","12.6","12.6","92","92","92","14.8","14.8","14.8","138","138","138","16.2","16.2","16.2","184","184","184","13.6","13.6","13.6"
"48","94","94","94","11.6","11.6","11.6","94","94","94","11.2","11.2","11.2","94","94","94","12","12","12","94","94","94","14.6","14.6","14.6","141","141","141","19.4","19.4","19.4","188","188","188","14","14","14"
"49","96","96","96","8.8","8.8","8.8","96","96","96","15","15","15","96","96","96","11.4","11.4","11.4","96","96","96","16.2","16.2","16.2","144","144","144","16.8","16.8","16.8","192","192","192","15.2","15.2","15.2"
"50","98","98","98","12","12","12","98","98","98","15","15","15","98","98","98","14.4","14.4","14.4","98","98","98","15","15","15","147","147","147","13","13","13","196","196","196","14.4","14.4","14.4"
"51","100","100","100","11","11","11","100","100","100","13","13","13","100","100","100","11.2","11.2","11.2","100","100","100","13.2","13.2","13.2","150","150","150","17","17","17","200","200","200","16","16","16"
"52","102","102","102","13.6","13.6","13.6","102","102","102","12.8","12.8","12.8","102","102","102","11.6","11.6","11.6","102","102","102","17.8","17.8","17.8","153","153","153","19.8","19.8","19.8","204","204","204","15.8","15.8","15.8"
"53","104","104","104","11","11","11","104","104","104","15","15","15","104","104","104","13.2","13.2","13.2","104","104","104","17.6","17.6","17.6","156","156","156","21","21","21","208","208","208","13.2","13.2","13.2"
"54","106","106","106","11.2","11.2","11.2","106","106","106","14.8","14.8","14.8","106","106","106","13.4","13.4","13.4","106","106","106","16.2","16.2","16.2","159","159","159","17.6","17.6","17.6","212","212","212","16","16","16"
"55","108","108","108","10","10","10","108","108","108","12.4","12.4","12.4","108","108","108","14","14","14","108","108","108","16.2","16.2","16.2","162","162","162","20.2","20.2","20.2","216","216","216","14.6","14.6","14.6"
"56","110","110","110","13","13","13","110","110","110","11.8","11.8","11.8","110","110","110","14","14","14","110","110","110","16.2","16.2","16.2","165","165","165","18","18","18","220","220","220","14.8","14.8","14.8"
"57","112","112","112","12","12","12","112","112","112","14.8","14.8","14.8","112","112","112","16","16","16","112","112","112","15.2","15.2","15.2","168","168","168","16.6","16.6","16.6","224","224","224","17.2","17.2","17.2"
"58","114","114","114","11.8","11.8","11.8","114","114","114","16","16","16","114","114","114","13","13","13","114","114","114","18.8","18.8","18.8","171","171","171","18.6","18.6","18.6","228","228","228","16.8","16.8","16.8"
"59","116","116","116","14.4","14.4","14.4","116","116","116","15.4","15.4","15.4","116","116","116","14","14","14","116","116","116","19","19","19","174","174","174","18.6","18.6","18.6","232","232","232","18.4","18.4","18.4"
"60","118","118","118","9.8","9.8","9.8","118","118","118","11.4","11.4","11.4","118","118","118","12","12","12","118","118","118","14","14","14","177","177","177","17.8","17.8","17.8","236","236","236","16.8","16.8","16.8"
"61","120","120","120","11","11","11","120","120","120","13.8","13.8","13.8","120","120","120","11","11","11","120","120","120","17.6","17.6","17.6","180","180","180","16.2","16.2","16.2","240","240","240","13","13","13"
"62","122","122","122","11.2","11.2","11.2","122","122","122","13.2","13.2","13.2","122","122","122","12","12","12","122","122","122","18.4","18.4","18.4","183","183","183","19.8","19.8","19.8","244","244","244","16.6","16.6","16.6"
"63","124","124","124","11.8","11.8","11.8","124","124","124","12.2","12.2","12.2","124","124","124","14.2","14.2","14.2","124","124","124","18.2","18.2","18.2","186","186","186","15.6","15.6","15.6","248","248","248","16.4","16.4","16.4"
"64","126","126","126","9.6","9.6","9.6","126","126","126","12.8","12.8","12.8","126","126","126","15.2","15.2","15.2","126","126","126","19","19","19","189","189","189","21.2","21.2","21.2","252","252","252","17","17","17"
"65","128","128","128","9.2","9.2","9.2","128","128","128","15.6","15.6","15.6","128","128","128","13.8","13.8","13.8","128","128","128","16.6","16.6","16.6","192","192","192","15.8","15.8","15.8","256","256","256","18.4","18.4","18.4"
"66","130","130","130","13.8","13.8","13.8","130","130","130","12.4","12.4","12.4","130","130","130","16.2","16.2","16.2","130","130","130","19.6","19.6","19.6","195","195","195","15.2","15.2","15.2","260","260","260","15.2","15.2","15.2"
"67","132","132","132","9.6","9.6","9.6","132","132","132","15","15","15","132","132","132","15.8","15.8","15.8","132","132","132","15.8","15.8","15.8","198","198","198","18.2","18.2","18.2","264","264","264","19.4","19.4","19.4"
"68","134","134","134","7.2","7.2","7.2","134","134","134","12","12","12","134","134","134","12.6","12.6","12.6","134","134","134","18.6","18.6","18.6","201","201","201","20.4","20.4","20.4","268","268","268","18.2","18.2","18.2"
"69","136","136","136","11","11","11","136","136","136","14.8","14.8","14.8","136","136","136","13.8","13.8","13.8","136","136","136","20","20","20","204","204","204","15.2","15.2","15.2","272","272","272","20.2","20.2","20.2"
