epoch,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MAX
1,-526.7,-526.7,-526.7,-562.6,-562.6,-562.6
2,-542.7,-542.7,-542.7,-513.3,-513.3,-513.3
3,-540.3,-540.3,-540.3,-551.6,-551.6,-551.6
4,-543.8,-543.8,-543.8,-491.2,-491.2,-491.2
5,-547.9,-547.9,-547.9,-480.4,-480.4,-480.4
6,-556.4,-556.4,-556.4,-471.4,-471.4,-471.4
7,-647.6,-647.6,-647.6,-552.5,-552.5,-552.5
8,-596.6,-596.6,-596.6,-503.4,-503.4,-503.4
9,-534.9,-534.9,-534.9,-580.3,-580.3,-580.3
10,-606.6,-606.6,-606.6,-534.6,-534.6,-534.6
11,-622.7,-622.7,-622.7,-542.8,-542.8,-542.8
12,-496.5,-496.5,-496.5,-559.1,-559.1,-559.1
13,-537,-537,-537,-504,-504,-504
14,-538.5,-538.5,-538.5,-616.6,-616.6,-616.6
15,-530.4,-530.4,-530.4,-491.7,-491.7,-491.7
16,-559.7,-559.7,-559.7,-579,-579,-579
17,-513.7,-513.7,-513.7,-501.9,-501.9,-501.9
18,-526.8,-526.8,-526.8,-562.7,-562.7,-562.7
19,-543.2,-543.2,-543.2,-517.3,-517.3,-517.3
20,-545.7,-545.7,-545.7,-552.9,-552.9,-552.9
21,-525.3,-525.3,-525.3,-529,-529,-529
22,-513.1,-513.1,-513.1,-461.6,-461.6,-461.6
23,-595,-595,-595,-489.8,-489.8,-489.8
24,-539.3,-539.3,-539.3,-575.5,-575.5,-575.5
25,-570.9,-570.9,-570.9,-490.2,-490.2,-490.2
26,-528.2,-528.2,-528.2,-528.2,-528.2,-528.2
27,-513.1,-513.1,-513.1,-532.3,-532.3,-532.3
28,-464.3,-464.3,-464.3,-502.1,-502.1,-502.1
29,-498,-498,-498,-511.1,-511.1,-511.1
30,-496.5,-496.5,-496.5,-542.2,-542.2,-542.2
31,-544.2,-544.2,-544.2,-505,-505,-505
32,-538.9,-538.9,-538.9,-527.8,-527.8,-527.8
33,-537.2,-537.2,-537.2,-488.5,-488.5,-488.5
34,-524.1,-524.1,-524.1,-518,-518,-518
35,-540,-540,-540,-540.6,-540.6,-540.6
36,-543.4,-543.4,-543.4,-555.9,-555.9,-555.9
37,-558,-558,-558,-493.6,-493.6,-493.6
38,-561.3,-561.3,-561.3,-519.3,-519.3,-519.3
39,-567.9,-567.9,-567.9,-493.9,-493.9,-493.9
40,-508.6,-508.6,-508.6,-541,-541,-541
41,-555.4,-555.4,-555.4,-508.9,-508.9,-508.9
42,-507.4,-507.4,-507.4,-484.1,-484.1,-484.1
43,-580.4,-580.4,-580.4,-528.7,-528.7,-528.7
44,-535.2,-535.2,-535.2,-501,-501,-501
45,-480.8,-480.8,-480.8,-559.4,-559.4,-559.4
46,-542,-542,-542,-494.4,-494.4,-494.4
47,-475.4,-475.4,-475.4,-517.9,-517.9,-517.9
48,-499.9,-499.9,-499.9,-511,-511,-511
49,-496.4,-496.4,-496.4,-532.4,-532.4,-532.4
50,-441.5,-441.5,-441.5,-540.7,-540.7,-540.7
51,-557.7,-557.7,-557.7,-511.2,-511.2,-511.2
52,-560.3,-560.3,-560.3,-564,-564,-564
53,-519.1,-519.1,-519.1,-438.6,-438.6,-438.6
54,-610.7,-610.7,-610.7,-583.2,-583.2,-583.2
55,-540.6,-540.6,-540.6,-501.8,-501.8,-501.8
56,-473.4,-473.4,-473.4,-418.4,-418.4,-418.4
57,-531.7,-531.7,-531.7,-546.5,-546.5,-546.5
58,-571.9,-571.9,-571.9,-555.3,-555.3,-555.3
59,-573.5,-573.5,-573.5,-571.4,-571.4,-571.4
60,-585.3,-585.3,-585.3,-449,-449,-449
61,-502.8,-502.8,-502.8,-473.7,-473.7,-473.7
62,-506.2,-506.2,-506.2,-461.3,-461.3,-461.3
63,-543.6,-543.6,-543.6,-445.8,-445.8,-445.8
64,-487.9,-487.9,-487.9,-476.1,-476.1,-476.1
65,-467.5,-467.5,-467.5,-519,-519,-519
66,-541.3,-541.3,-541.3,-494,-494,-494
67,-508.9,-508.9,-508.9,-461.6,-461.6,-461.6
68,-499.1,-499.1,-499.1,-479.4,-479.4,-479.4
69,-502.2,-502.2,-502.2,-470.6,-470.6,-470.6
70,-448.9,-448.9,-448.9,-512.5,-512.5,-512.5
71,-495.7,-495.7,-495.7,-506.1,-506.1,-506.1
72,-475.8,-475.8,-475.8,-480.4,-480.4,-480.4
73,-501.7,-501.7,-501.7,-514.6,-514.6,-514.6
74,-472.9,-472.9,-472.9,-500.8,-500.8,-500.8
75,-488.9,-488.9,-488.9,-545.7,-545.7,-545.7
76,-516.8,-516.8,-516.8,-461.7,-461.7,-461.7
77,-556,-556,-556,-474.9,-474.9,-474.9
78,-480.8,-480.8,-480.8,-480.9,-480.9,-480.9
79,-523,-523,-523,-445.7,-445.7,-445.7
80,-489.8,-489.8,-489.8,-508.9,-508.9,-508.9
81,-478.6,-478.6,-478.6,-496.4,-496.4,-496.4
82,-467.5,-467.5,-467.5,-471.4,-471.4,-471.4
83,-495.8,-495.8,-495.8,-459,-459,-459
84,-462.2,-462.2,-462.2,-443.9,-443.9,-443.9
85,-481.4,-481.4,-481.4,-486.5,-486.5,-486.5
86,-489.2,-489.2,-489.2,-479.2,-479.2,-479.2
87,-504.6,-504.6,-504.6,-445.4,-445.4,-445.4
88,-507.9,-507.9,-507.9,-460.4,-460.4,-460.4
89,-473.2,-473.2,-473.2,-488.8,-488.8,-488.8
90,-425.7,-425.7,-425.7,-492.6,-492.6,-492.6
91,-447.3,-447.3,-447.3,-485.9,-485.9,-485.9
92,-491.2,-491.2,-491.2,-461.2,-461.2,-461.2
93,-431.6,-431.6,-431.6,-411.2,-411.2,-411.2
94,-480.6,-480.6,-480.6,-426.9,-426.9,-426.9
95,-441.9,-441.9,-441.9,-446.4,-446.4,-446.4
96,-558.5,-558.5,-558.5,-422.8,-422.8,-422.8
97,-467.1,-467.1,-467.1,-507.4,-507.4,-507.4
98,-420.9,-420.9,-420.9,-494.2,-494.2,-494.2
99,-490.8,-490.8,-490.8,-429.6,-429.6,-429.6
100,-526.6,-526.6,-526.6,-382.4,-382.4,-382.4
101,-425.5,-425.5,-425.5,-390.5,-390.5,-390.5
102,-475.2,-475.2,-475.2,-482.6,-482.6,-482.6
103,-413,-413,-413,-451,-451,-451
104,-406.5,-406.5,-406.5,-470.2,-470.2,-470.2
105,-458.8,-458.8,-458.8,-513.1,-513.1,-513.1
106,-467.6,-467.6,-467.6,-462.7,-462.7,-462.7
107,-502.2,-502.2,-502.2,-431.2,-431.2,-431.2
108,-530.6,-530.6,-530.6,-459.7,-459.7,-459.7
109,-474.6,-474.6,-474.6,-407.7,-407.7,-407.7
110,-453,-453,-453,-455.9,-455.9,-455.9
111,-493.9,-493.9,-493.9,-448.2,-448.2,-448.2
112,-468.5,-468.5,-468.5,-446.9,-446.9,-446.9
113,-458.8,-458.8,-458.8,-481.3,-481.3,-481.3
114,-441.4,-441.4,-441.4,-528.1,-528.1,-528.1
115,-453.7,-453.7,-453.7,-370.6,-370.6,-370.6
116,-441.9,-441.9,-441.9,-412.1,-412.1,-412.1
117,-486.3,-486.3,-486.3,-417.5,-417.5,-417.5
118,-480,-480,-480,-417.3,-417.3,-417.3
119,-474.2,-474.2,-474.2,-484.1,-484.1,-484.1
120,-373.4,-373.4,-373.4,-460.4,-460.4,-460.4
121,-444.6,-444.6,-444.6,-431.8,-431.8,-431.8
122,-466.3,-466.3,-466.3,-478.9,-478.9,-478.9
123,-543.3,-543.3,-543.3,-460.5,-460.5,-460.5
124,-428.1,-428.1,-428.1,-470.8,-470.8,-470.8
125,-454.5,-454.5,-454.5,-372.8,-372.8,-372.8
126,-466.5,-466.5,-466.5,-524,-524,-524
127,-462.1,-462.1,-462.1,-450.3,-450.3,-450.3
128,-407.7,-407.7,-407.7,-423.7,-423.7,-423.7
129,-453.3,-453.3,-453.3,-476.2,-476.2,-476.2
130,-430.4,-430.4,-430.4,-423.9,-423.9,-423.9
131,-464.8,-464.8,-464.8,-469.6,-469.6,-469.6
132,-468.9,-468.9,-468.9,-490.6,-490.6,-490.6
133,-456.9,-456.9,-456.9,-417.8,-417.8,-417.8
134,-478.1,-478.1,-478.1,-444.2,-444.2,-444.2
135,-467.5,-467.5,-467.5,-506.5,-506.5,-506.5
136,-435,-435,-435,-439.3,-439.3,-439.3
137,-436.5,-436.5,-436.5,-383.4,-383.4,-383.4
138,-449.9,-449.9,-449.9,-446.6,-446.6,-446.6
139,-470.1,-470.1,-470.1,-427.2,-427.2,-427.2
140,-482.9,-482.9,-482.9,-490.3,-490.3,-490.3
141,-450,-450,-450,-484.8,-484.8,-484.8
142,-422,-422,-422,-400.5,-400.5,-400.5
143,-390.5,-390.5,-390.5,-437,-437,-437
144,-478.2,-478.2,-478.2,-458.6,-458.6,-458.6
145,-496,-496,-496,-433.4,-433.4,-433.4
146,-428.8,-428.8,-428.8,-515.6,-515.6,-515.6
147,-430.3,-430.3,-430.3,-414.5,-414.5,-414.5
148,-445.3,-445.3,-445.3,-524,-524,-524
149,-446.8,-446.8,-446.8,-447.5,-447.5,-447.5
150,-446.5,-446.5,-446.5,-366.8,-366.8,-366.8
151,-409.7,-409.7,-409.7,-365.4,-365.4,-365.4
152,-440.4,-440.4,-440.4,-396.8,-396.8,-396.8
153,-459.9,-459.9,-459.9,-377.1,-377.1,-377.1
154,-438.1,-438.1,-438.1,-522.3,-522.3,-522.3
155,-439.6,-439.6,-439.6,-469.3,-469.3,-469.3
156,-419.6,-419.6,-419.6,-445.4,-445.4,-445.4
157,-452.6,-452.6,-452.6,-410.6,-410.6,-410.6
158,-441,-441,-441,-439.6,-439.6,-439.6
159,-443.9,-443.9,-443.9,-403.5,-403.5,-403.5
160,-417.6,-417.6,-417.6,-466.1,-466.1,-466.1
161,-432.3,-432.3,-432.3,-470.3,-470.3,-470.3
162,-548.6,-548.6,-548.6,-445.9,-445.9,-445.9
163,-419,-419,-419,-364.5,-364.5,-364.5
164,-471,-471,-471,-402.6,-402.6,-402.6
165,-420.6,-420.6,-420.6,-400.5,-400.5,-400.5
166,-460.9,-460.9,-460.9,-435.1,-435.1,-435.1
167,-426.4,-426.4,-426.4,-432.1,-432.1,-432.1
168,-451.3,-451.3,-451.3,-390.9,-390.9,-390.9
169,-452.5,-452.5,-452.5,-360.9,-360.9,-360.9
170,-431.2,-431.2,-431.2,-414.3,-414.3,-414.3
171,-466.8,-466.8,-466.8,-403.4,-403.4,-403.4
172,-439.6,-439.6,-439.6,-396.5,-396.5,-396.5
173,-448.8,-448.8,-448.8,-397.9,-397.9,-397.9
174,-399.3,-399.3,-399.3,-451.5,-451.5,-451.5
175,-470.7,-470.7,-470.7,-448.2,-448.2,-448.2
176,-451.4,-451.4,-451.4,-458,-458,-458
177,-448.3,-448.3,-448.3,-451.1,-451.1,-451.1
178,-463.9,-463.9,-463.9,-396,-396,-396
179,-460.6,-460.6,-460.6,-443.1,-443.1,-443.1
180,-400.1,-400.1,-400.1,-413.8,-413.8,-413.8
181,-447.8,-447.8,-447.8,-394.5,-394.5,-394.5
182,-359.9,-359.9,-359.9,-413.4,-413.4,-413.4
183,-457.2,-457.2,-457.2,-434.4,-434.4,-434.4
184,-417.1,-417.1,-417.1,-387.7,-387.7,-387.7
185,-477.2,-477.2,-477.2,-420.4,-420.4,-420.4
186,-434.5,-434.5,-434.5,-475.2,-475.2,-475.2
187,-372.6,-372.6,-372.6,-398.9,-398.9,-398.9
188,-433.5,-433.5,-433.5,-458.9,-458.9,-458.9
189,-317.7,-317.7,-317.7,-408.3,-408.3,-408.3
190,-453.6,-453.6,-453.6,-377.6,-377.6,-377.6
