epoch,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
1,-540.7,-540.7,-540.7,-522.4,-522.4,-522.4,-564.5,-564.5,-564.5,-523,-523,-523,-497.2,-497.2,-497.2,-556.4,-556.4,-556.4
2,-517.9,-517.9,-517.9,-536.3,-536.3,-536.3,-571.6,-571.6,-571.6,-538.3,-538.3,-538.3,-561.8,-561.8,-561.8,-508.8,-508.8,-508.8
3,-528.6,-528.6,-528.6,-520.6,-520.6,-520.6,-549.8,-549.8,-549.8,-647.5,-647.5,-647.5,-644.6,-644.6,-644.6,-522.4,-522.4,-522.4
4,-537.3,-537.3,-537.3,-575.5,-575.5,-575.5,-538.2,-538.2,-538.2,-574.2,-574.2,-574.2,-608.7,-608.7,-608.7,-581.3,-581.3,-581.3
5,-575.1,-575.1,-575.1,-586.1,-586.1,-586.1,-539,-539,-539,-485.9,-485.9,-485.9,-553.7,-553.7,-553.7,-640,-640,-640
6,-547.1,-547.1,-547.1,-556.3,-556.3,-556.3,-554.2,-554.2,-554.2,-448.7,-448.7,-448.7,-576.4,-576.4,-576.4,-622.6,-622.6,-622.6
7,-533.2,-533.2,-533.2,-511.3,-511.3,-511.3,-618.7,-618.7,-618.7,-488.4,-488.4,-488.4,-536.2,-536.2,-536.2,-561.5,-561.5,-561.5
8,-569.6,-569.6,-569.6,-562.9,-562.9,-562.9,-566.2,-566.2,-566.2,-496.9,-496.9,-496.9,-576.8,-576.8,-576.8,-572.4,-572.4,-572.4
9,-547.7,-547.7,-547.7,-537.2,-537.2,-537.2,-566.2,-566.2,-566.2,-555.5,-555.5,-555.5,-531.6,-531.6,-531.6,-639.2,-639.2,-639.2
10,-474.2,-474.2,-474.2,-535.7,-535.7,-535.7,-571.1,-571.1,-571.1,-537.5,-537.5,-537.5,-558.9,-558.9,-558.9,-556.5,-556.5,-556.5
11,-565,-565,-565,-549.4,-549.4,-549.4,-551.3,-551.3,-551.3,-523.8,-523.8,-523.8,-565.8,-565.8,-565.8,-507,-507,-507
12,-588.5,-588.5,-588.5,-535.7,-535.7,-535.7,-543.2,-543.2,-543.2,-548.7,-548.7,-548.7,-552.6,-552.6,-552.6,-521.4,-521.4,-521.4
13,-527.7,-527.7,-527.7,-582.2,-582.2,-582.2,-507.4,-507.4,-507.4,-578.9,-578.9,-578.9,-554.9,-554.9,-554.9,-527,-527,-527
14,-498.3,-498.3,-498.3,-528.5,-528.5,-528.5,-541.4,-541.4,-541.4,-533.9,-533.9,-533.9,-540,-540,-540,-526.5,-526.5,-526.5
15,-515.4,-515.4,-515.4,-582.1,-582.1,-582.1,-646,-646,-646,-516.4,-516.4,-516.4,-553.9,-553.9,-553.9,-586.1,-586.1,-586.1
16,-534.4,-534.4,-534.4,-525.1,-525.1,-525.1,-513.4,-513.4,-513.4,-572.7,-572.7,-572.7,-543.2,-543.2,-543.2,-596.1,-596.1,-596.1
17,-479.4,-479.4,-479.4,-507.2,-507.2,-507.2,-605.5,-605.5,-605.5,-520.1,-520.1,-520.1,-475.2,-475.2,-475.2,-542,-542,-542
18,-537.5,-537.5,-537.5,-534.9,-534.9,-534.9,-561.5,-561.5,-561.5,-545.6,-545.6,-545.6,-560.7,-560.7,-560.7,-521.8,-521.8,-521.8
19,-559.9,-559.9,-559.9,-548.3,-548.3,-548.3,-539.1,-539.1,-539.1,-517.7,-517.7,-517.7,-513,-513,-513,-560,-560,-560
20,-510.5,-510.5,-510.5,-535,-535,-535,-584.2,-584.2,-584.2,-501,-501,-501,-525.4,-525.4,-525.4,-549.7,-549.7,-549.7
21,-553.8,-553.8,-553.8,-561.3,-561.3,-561.3,-515.1,-515.1,-515.1,-486.5,-486.5,-486.5,-513.6,-513.6,-513.6,-582.4,-582.4,-582.4
22,-480.2,-480.2,-480.2,-558.2,-558.2,-558.2,-559,-559,-559,-509.8,-509.8,-509.8,-545.3,-545.3,-545.3,-525.1,-525.1,-525.1
23,-497.3,-497.3,-497.3,-575.1,-575.1,-575.1,-498.7,-498.7,-498.7,-531.9,-531.9,-531.9,-549.2,-549.2,-549.2,-576.8,-576.8,-576.8
24,-505.6,-505.6,-505.6,-437.4,-437.4,-437.4,-527.9,-527.9,-527.9,-504,-504,-504,-550.1,-550.1,-550.1,-603.9,-603.9,-603.9
25,-573.9,-573.9,-573.9,-611.1,-611.1,-611.1,-496.7,-496.7,-496.7,-518.3,-518.3,-518.3,-555,-555,-555,-498.7,-498.7,-498.7
26,-555.8,-555.8,-555.8,-538.9,-538.9,-538.9,-563.2,-563.2,-563.2,-446.8,-446.8,-446.8,-573,-573,-573,-490.2,-490.2,-490.2
27,-535.6,-535.6,-535.6,-491.6,-491.6,-491.6,-570.4,-570.4,-570.4,-493.9,-493.9,-493.9,-515.7,-515.7,-515.7,-582.3,-582.3,-582.3
28,-550.2,-550.2,-550.2,-559.3,-559.3,-559.3,-552,-552,-552,-481.6,-481.6,-481.6,-586.2,-586.2,-586.2,-537.7,-537.7,-537.7
29,-518,-518,-518,-561.2,-561.2,-561.2,-520.4,-520.4,-520.4,-549.1,-549.1,-549.1,-477.4,-477.4,-477.4,-519.5,-519.5,-519.5
30,-539,-539,-539,-523.9,-523.9,-523.9,-557.9,-557.9,-557.9,-487.5,-487.5,-487.5,-507.8,-507.8,-507.8,-497.4,-497.4,-497.4
31,-507.1,-507.1,-507.1,-535.7,-535.7,-535.7,-526.2,-526.2,-526.2,-511.2,-511.2,-511.2,-568.2,-568.2,-568.2,-532.7,-532.7,-532.7
32,-480,-480,-480,-544.8,-544.8,-544.8,-495.4,-495.4,-495.4,-542.2,-542.2,-542.2,-580.2,-580.2,-580.2,-533.5,-533.5,-533.5
33,-514.4,-514.4,-514.4,-495.7,-495.7,-495.7,-587.7,-587.7,-587.7,-506.2,-506.2,-506.2,-485.9,-485.9,-485.9,-530.8,-530.8,-530.8
34,-454,-454,-454,-427,-427,-427,-465.6,-465.6,-465.6,-546.1,-546.1,-546.1,-545.1,-545.1,-545.1,-585.5,-585.5,-585.5
35,-512.6,-512.6,-512.6,-476.3,-476.3,-476.3,-539.6,-539.6,-539.6,-541.4,-541.4,-541.4,-582.4,-582.4,-582.4,-494.8,-494.8,-494.8
36,-432.1,-432.1,-432.1,-516.9,-516.9,-516.9,-611.9,-611.9,-611.9,-482,-482,-482,-552.5,-552.5,-552.5,-526.7,-526.7,-526.7
37,-509,-509,-509,-546.9,-546.9,-546.9,-536.2,-536.2,-536.2,-487.9,-487.9,-487.9,-614.1,-614.1,-614.1,-517.3,-517.3,-517.3
38,-550.2,-550.2,-550.2,-541.1,-541.1,-541.1,-533.3,-533.3,-533.3,-485.7,-485.7,-485.7,-545.2,-545.2,-545.2,-513.5,-513.5,-513.5
39,-473.1,-473.1,-473.1,-512.2,-512.2,-512.2,-585.9,-585.9,-585.9,-449.2,-449.2,-449.2,-510.1,-510.1,-510.1,-516.6,-516.6,-516.6
40,-484.6,-484.6,-484.6,-508.6,-508.6,-508.6,-493.1,-493.1,-493.1,-589,-589,-589,-537.3,-537.3,-537.3,-504.3,-504.3,-504.3
41,-525.8,-525.8,-525.8,-528,-528,-528,-500.1,-500.1,-500.1,-480,-480,-480,-558.5,-558.5,-558.5,-483.5,-483.5,-483.5
42,-561.4,-561.4,-561.4,-565.6,-565.6,-565.6,-508.9,-508.9,-508.9,-468.3,-468.3,-468.3,-496.4,-496.4,-496.4,-524.9,-524.9,-524.9
43,-550.8,-550.8,-550.8,-529.9,-529.9,-529.9,-525.8,-525.8,-525.8,-493.1,-493.1,-493.1,-507,-507,-507,-529.1,-529.1,-529.1
44,-499.5,-499.5,-499.5,-550.9,-550.9,-550.9,-557.7,-557.7,-557.7,-536.6,-536.6,-536.6,-527.2,-527.2,-527.2,-493.7,-493.7,-493.7
45,-548.7,-548.7,-548.7,-567.6,-567.6,-567.6,-498.7,-498.7,-498.7,-461.6,-461.6,-461.6,-508.5,-508.5,-508.5,-504,-504,-504
46,-457.5,-457.5,-457.5,-486.8,-486.8,-486.8,-481.1,-481.1,-481.1,-534,-534,-534,-506.9,-506.9,-506.9,-475.8,-475.8,-475.8
47,-543.9,-543.9,-543.9,-560.2,-560.2,-560.2,-505.2,-505.2,-505.2,-495,-495,-495,-546.4,-546.4,-546.4,-476.8,-476.8,-476.8
48,-524.1,-524.1,-524.1,-454.5,-454.5,-454.5,-545.9,-545.9,-545.9,-504.5,-504.5,-504.5,-527.6,-527.6,-527.6,-471,-471,-471
49,-504.5,-504.5,-504.5,-523.4,-523.4,-523.4,-543.3,-543.3,-543.3,-517.3,-517.3,-517.3,-484.5,-484.5,-484.5,-514.6,-514.6,-514.6
50,-434.6,-434.6,-434.6,-551.9,-551.9,-551.9,-611.5,-611.5,-611.5,-475.2,-475.2,-475.2,-570.4,-570.4,-570.4,-563.1,-563.1,-563.1
51,-550.1,-550.1,-550.1,-611.8,-611.8,-611.8,-483.7,-483.7,-483.7,-461.9,-461.9,-461.9,-514.1,-514.1,-514.1,-539.9,-539.9,-539.9
52,-501.9,-501.9,-501.9,-509.9,-509.9,-509.9,-527.4,-527.4,-527.4,-420.4,-420.4,-420.4,-533.8,-533.8,-533.8,-530.1,-530.1,-530.1
53,-449.2,-449.2,-449.2,-552.4,-552.4,-552.4,-478.7,-478.7,-478.7,-483.2,-483.2,-483.2,-559.9,-559.9,-559.9,-484.4,-484.4,-484.4
54,-484.1,-484.1,-484.1,-591.3,-591.3,-591.3,-571.6,-571.6,-571.6,-514.6,-514.6,-514.6,-574,-574,-574,-515.6,-515.6,-515.6
55,-467.8,-467.8,-467.8,-557.2,-557.2,-557.2,-521.7,-521.7,-521.7,-487,-487,-487,-555,-555,-555,-471.1,-471.1,-471.1
56,-442.4,-442.4,-442.4,-494.2,-494.2,-494.2,-517.4,-517.4,-517.4,-515,-515,-515,-544.3,-544.3,-544.3,-420.6,-420.6,-420.6
57,-539.6,-539.6,-539.6,-481.5,-481.5,-481.5,-542.6,-542.6,-542.6,-492.5,-492.5,-492.5,-517,-517,-517,-531.7,-531.7,-531.7
58,-514.6,-514.6,-514.6,-511.9,-511.9,-511.9,-514.6,-514.6,-514.6,-550.8,-550.8,-550.8,-528.4,-528.4,-528.4,-466.8,-466.8,-466.8
59,-470.9,-470.9,-470.9,-499,-499,-499,-511,-511,-511,-470,-470,-470,-576.4,-576.4,-576.4,-498.3,-498.3,-498.3
60,-475.1,-475.1,-475.1,-556.8,-556.8,-556.8,-517.8,-517.8,-517.8,-465.6,-465.6,-465.6,-471.8,-471.8,-471.8,-476.3,-476.3,-476.3
61,-412.5,-412.5,-412.5,-569.1,-569.1,-569.1,-538.5,-538.5,-538.5,-536.2,-536.2,-536.2,-518.7,-518.7,-518.7,-486,-486,-486
62,-513.5,-513.5,-513.5,-558.6,-558.6,-558.6,-551.4,-551.4,-551.4,-505.7,-505.7,-505.7,-564,-564,-564,-512.9,-512.9,-512.9
63,-503.2,-503.2,-503.2,-483,-483,-483,-527.4,-527.4,-527.4,-455.6,-455.6,-455.6,-530,-530,-530,-516.1,-516.1,-516.1
64,-453.8,-453.8,-453.8,-539.4,-539.4,-539.4,-563.9,-563.9,-563.9,-439.6,-439.6,-439.6,-636.5,-636.5,-636.5,-524.9,-524.9,-524.9
65,-517.4,-517.4,-517.4,-548.3,-548.3,-548.3,-584.3,-584.3,-584.3,-475.1,-475.1,-475.1,-517.4,-517.4,-517.4,-489.8,-489.8,-489.8
66,-411.5,-411.5,-411.5,-579.9,-579.9,-579.9,-537.3,-537.3,-537.3,-419.2,-419.2,-419.2,-554.6,-554.6,-554.6,-497,-497,-497
67,-506.2,-506.2,-506.2,-510,-510,-510,-531.8,-531.8,-531.8,-468.3,-468.3,-468.3,-558.6,-558.6,-558.6,-422.7,-422.7,-422.7
68,-513.5,-513.5,-513.5,-505.7,-505.7,-505.7,-536.8,-536.8,-536.8,-469.7,-469.7,-469.7,-492.2,-492.2,-492.2,-476.3,-476.3,-476.3
69,-542.7,-542.7,-542.7,-518.9,-518.9,-518.9,-503,-503,-503,-452,-452,-452,-510.6,-510.6,-510.6,-509.9,-509.9,-509.9
70,-556.3,-556.3,-556.3,-562.4,-562.4,-562.4,-560.9,-560.9,-560.9,-423.3,-423.3,-423.3,-499.8,-499.8,-499.8,-403.4,-403.4,-403.4
