epoch,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return__MAX
1,-792.8,-792.8,-792.8,-752.3,-752.3,-752.3,-764.3,-764.3,-764.3,-712.9,-712.9,-712.9,-721.2,-721.2,-721.2,-727.4,-727.4,-727.4
2,-796.7,-796.7,-796.7,-830.9,-830.9,-830.9,-664.6,-664.6,-664.6,-689.8,-689.8,-689.8,-730.6,-730.6,-730.6,-710.2,-710.2,-710.2
3,-775.5,-775.5,-775.5,-748.3,-748.3,-748.3,-741.4,-741.4,-741.4,-829.4,-829.4,-829.4,-733.6,-733.6,-733.6,-690.6,-690.6,-690.6
4,-620.5,-620.5,-620.5,-653.3,-653.3,-653.3,-771.1,-771.1,-771.1,-684.7,-684.7,-684.7,-789.8,-789.8,-789.8,-757.1,-757.1,-757.1
5,-660,-660,-660,-718,-718,-718,-830,-830,-830,-646.8,-646.8,-646.8,-661.5,-661.5,-661.5,-618.8,-618.8,-618.8
6,-676.1,-676.1,-676.1,-762.7,-762.7,-762.7,-634.1,-634.1,-634.1,-756.3,-756.3,-756.3,-714.9,-714.9,-714.9,-806.2,-806.2,-806.2
7,-779.5,-779.5,-779.5,-741.9,-741.9,-741.9,-765,-765,-765,-843.8,-843.8,-843.8,-692.1,-692.1,-692.1,-775.2,-775.2,-775.2
8,-718.8,-718.8,-718.8,-714.3,-714.3,-714.3,-705.8,-705.8,-705.8,-738.8,-738.8,-738.8,-677,-677,-677,-735.3,-735.3,-735.3
9,-728.9,-728.9,-728.9,-794.7,-794.7,-794.7,-747.7,-747.7,-747.7,-765.6,-765.6,-765.6,-661.3,-661.3,-661.3,-735.6,-735.6,-735.6
10,-767.3,-767.3,-767.3,-684.7,-684.7,-684.7,-822.5,-822.5,-822.5,-672.9,-672.9,-672.9,-762.6,-762.6,-762.6,-786.7,-786.7,-786.7
11,-764.1,-764.1,-764.1,-633.2,-633.2,-633.2,-655.9,-655.9,-655.9,-751.7,-751.7,-751.7,-623,-623,-623,-707.5,-707.5,-707.5
12,-750.1,-750.1,-750.1,-794.2,-794.2,-794.2,-688,-688,-688,-577.2,-577.2,-577.2,-772,-772,-772,-796.7,-796.7,-796.7
13,-736.6,-736.6,-736.6,-667.4,-667.4,-667.4,-766.1,-766.1,-766.1,-731.7,-731.7,-731.7,-746.3,-746.3,-746.3,-744.1,-744.1,-744.1
14,-744.6,-744.6,-744.6,-670.8,-670.8,-670.8,-671.7,-671.7,-671.7,-694.8,-694.8,-694.8,-809.2,-809.2,-809.2,-755.5,-755.5,-755.5
15,-714.5,-714.5,-714.5,-658.8,-658.8,-658.8,-637,-637,-637,-707.9,-707.9,-707.9,-756,-756,-756,-755.4,-755.4,-755.4
16,-734.7,-734.7,-734.7,-761,-761,-761,-703.4,-703.4,-703.4,-734,-734,-734,-684.8,-684.8,-684.8,-739.3,-739.3,-739.3
17,-850.2,-850.2,-850.2,-651.4,-651.4,-651.4,-726.8,-726.8,-726.8,-708.7,-708.7,-708.7,-731.1,-731.1,-731.1,-798.3,-798.3,-798.3
18,-728.7,-728.7,-728.7,-735.9,-735.9,-735.9,-673.2,-673.2,-673.2,-805,-805,-805,-709,-709,-709,-715.7,-715.7,-715.7
19,-764.2,-764.2,-764.2,-760.2,-760.2,-760.2,-822.8,-822.8,-822.8,-789.4,-789.4,-789.4,-701.5,-701.5,-701.5,-724,-724,-724
20,-722.7,-722.7,-722.7,-673,-673,-673,-584.7,-584.7,-584.7,-693.3,-693.3,-693.3,-641.7,-641.7,-641.7,-663.8,-663.8,-663.8
21,-784.7,-784.7,-784.7,-726.2,-726.2,-726.2,-632.1,-632.1,-632.1,-705.9,-705.9,-705.9,-678.9,-678.9,-678.9,-713,-713,-713
22,-686.4,-686.4,-686.4,-753.2,-753.2,-753.2,-721.1,-721.1,-721.1,-671.4,-671.4,-671.4,-795.3,-795.3,-795.3,-705,-705,-705
23,-745.5,-745.5,-745.5,-751.2,-751.2,-751.2,-702.9,-702.9,-702.9,-650.9,-650.9,-650.9,-636.9,-636.9,-636.9,-736.1,-736.1,-736.1
24,-694.9,-694.9,-694.9,-762.6,-762.6,-762.6,-648.7,-648.7,-648.7,-748.3,-748.3,-748.3,-676.1,-676.1,-676.1,-680.8,-680.8,-680.8
25,-697.2,-697.2,-697.2,-649.2,-649.2,-649.2,-732.9,-732.9,-732.9,-766.3,-766.3,-766.3,-601.6,-601.6,-601.6,-662,-662,-662
26,-648.3,-648.3,-648.3,-637.6,-637.6,-637.6,-739.1,-739.1,-739.1,-771.7,-771.7,-771.7,-771.9,-771.9,-771.9,-753.1,-753.1,-753.1
27,-699.7,-699.7,-699.7,-693.6,-693.6,-693.6,-664.1,-664.1,-664.1,-658.5,-658.5,-658.5,-741.2,-741.2,-741.2,-756.9,-756.9,-756.9
28,-712.9,-712.9,-712.9,-748.7,-748.7,-748.7,-701.2,-701.2,-701.2,-650.9,-650.9,-650.9,-778.9,-778.9,-778.9,-695.6,-695.6,-695.6
29,-743.1,-743.1,-743.1,-709.2,-709.2,-709.2,-758.8,-758.8,-758.8,-778.5,-778.5,-778.5,-661.6,-661.6,-661.6,-682.7,-682.7,-682.7
30,-774.6,-774.6,-774.6,-671.4,-671.4,-671.4,-669.2,-669.2,-669.2,-675.5,-675.5,-675.5,-685.9,-685.9,-685.9,-666,-666,-666
31,-684.3,-684.3,-684.3,-706.9,-706.9,-706.9,-684.6,-684.6,-684.6,-676.6,-676.6,-676.6,-694,-694,-694,-814.7,-814.7,-814.7
32,-775.4,-775.4,-775.4,-750.9,-750.9,-750.9,-624.8,-624.8,-624.8,-724.6,-724.6,-724.6,-679.1,-679.1,-679.1,-673.2,-673.2,-673.2
33,-749.8,-749.8,-749.8,-714.9,-714.9,-714.9,-769.1,-769.1,-769.1,-667.9,-667.9,-667.9,-730.9,-730.9,-730.9,-731,-731,-731
34,-684.6,-684.6,-684.6,-771.1,-771.1,-771.1,-662.7,-662.7,-662.7,-710.9,-710.9,-710.9,-663,-663,-663,-706.6,-706.6,-706.6
35,-648.5,-648.5,-648.5,-746.5,-746.5,-746.5,-668,-668,-668,-746.9,-746.9,-746.9,-647.5,-647.5,-647.5,-707.1,-707.1,-707.1
36,-796.7,-796.7,-796.7,-705.2,-705.2,-705.2,-700.6,-700.6,-700.6,-758.7,-758.7,-758.7,-671.9,-671.9,-671.9,-681.4,-681.4,-681.4
37,-759.2,-759.2,-759.2,-718.5,-718.5,-718.5,-641.1,-641.1,-641.1,-687.6,-687.6,-687.6,-767.3,-767.3,-767.3,-623.9,-623.9,-623.9
38,-661.9,-661.9,-661.9,-649.8,-649.8,-649.8,-667.2,-667.2,-667.2,-736.3,-736.3,-736.3,-749.1,-749.1,-749.1,-701.5,-701.5,-701.5
39,-772.8,-772.8,-772.8,-723.8,-723.8,-723.8,-620.5,-620.5,-620.5,-746.7,-746.7,-746.7,-686.2,-686.2,-686.2,-699.2,-699.2,-699.2
40,-694.8,-694.8,-694.8,-772,-772,-772,-659.1,-659.1,-659.1,-669.6,-669.6,-669.6,-706.8,-706.8,-706.8,-637.5,-637.5,-637.5
41,-693.5,-693.5,-693.5,-759.9,-759.9,-759.9,-681.3,-681.3,-681.3,-718.8,-718.8,-718.8,-731.7,-731.7,-731.7,-714.8,-714.8,-714.8
42,-665.7,-665.7,-665.7,-741.6,-741.6,-741.6,-735.6,-735.6,-735.6,-679.1,-679.1,-679.1,-740.4,-740.4,-740.4,-672.2,-672.2,-672.2
43,-721.6,-721.6,-721.6,-837,-837,-837,-672.9,-672.9,-672.9,-735.3,-735.3,-735.3,-661.1,-661.1,-661.1,-638.4,-638.4,-638.4
44,-714.1,-714.1,-714.1,-719.9,-719.9,-719.9,-714.1,-714.1,-714.1,-765.7,-765.7,-765.7,-652.8,-652.8,-652.8,-732,-732,-732
45,-764.7,-764.7,-764.7,-693.3,-693.3,-693.3,-744.5,-744.5,-744.5,-723.7,-723.7,-723.7,-653.6,-653.6,-653.6,-555,-555,-555
46,-755.9,-755.9,-755.9,-725.2,-725.2,-725.2,-699.5,-699.5,-699.5,-695.3,-695.3,-695.3,-677.4,-677.4,-677.4,-648,-648,-648
47,-679.5,-679.5,-679.5,-691.3,-691.3,-691.3,-668.8,-668.8,-668.8,-694.9,-694.9,-694.9,-685.3,-685.3,-685.3,-681,-681,-681
48,-687.3,-687.3,-687.3,-748.4,-748.4,-748.4,-694.5,-694.5,-694.5,-696.5,-696.5,-696.5,-674,-674,-674,-774.5,-774.5,-774.5
49,-690.1,-690.1,-690.1,-741.3,-741.3,-741.3,-660.4,-660.4,-660.4,-744.4,-744.4,-744.4,-702,-702,-702,-707.2,-707.2,-707.2
50,-836.9,-836.9,-836.9,-640,-640,-640,-711.3,-711.3,-711.3,-717.8,-717.8,-717.8,-633.7,-633.7,-633.7,-738.2,-738.2,-738.2
51,-681.3,-681.3,-681.3,-687,-687,-687,-686.4,-686.4,-686.4,-809.2,-809.2,-809.2,-691.3,-691.3,-691.3,-617.4,-617.4,-617.4
52,-598.6,-598.6,-598.6,-601.1,-601.1,-601.1,-615,-615,-615,-727.5,-727.5,-727.5,-676.1,-676.1,-676.1,-734.7,-734.7,-734.7
53,-708.8,-708.8,-708.8,-697.9,-697.9,-697.9,-650.2,-650.2,-650.2,-636.6,-636.6,-636.6,-695.9,-695.9,-695.9,-751,-751,-751
54,-759,-759,-759,-702.4,-702.4,-702.4,-642.8,-642.8,-642.8,-740.2,-740.2,-740.2,-666.8,-666.8,-666.8,-669.5,-669.5,-669.5
55,-710.8,-710.8,-710.8,-826.8,-826.8,-826.8,-655.7,-655.7,-655.7,-762.4,-762.4,-762.4,-669.5,-669.5,-669.5,-741.1,-741.1,-741.1
56,-762.8,-762.8,-762.8,-779.9,-779.9,-779.9,-655.5,-655.5,-655.5,-745,-745,-745,-745.6,-745.6,-745.6,-678.1,-678.1,-678.1
57,-734.4,-734.4,-734.4,-717.5,-717.5,-717.5,-676.6,-676.6,-676.6,-703.5,-703.5,-703.5,-709.4,-709.4,-709.4,-758.1,-758.1,-758.1
58,-667.6,-667.6,-667.6,-677.3,-677.3,-677.3,-670.8,-670.8,-670.8,-650.8,-650.8,-650.8,-706.1,-706.1,-706.1,-748.1,-748.1,-748.1
59,-808,-808,-808,-755.4,-755.4,-755.4,-592.4,-592.4,-592.4,-584.2,-584.2,-584.2,-695.7,-695.7,-695.7,-656.8,-656.8,-656.8
60,-758.2,-758.2,-758.2,-723.1,-723.1,-723.1,-631,-631,-631,-669.9,-669.9,-669.9,-706.5,-706.5,-706.5,-664.5,-664.5,-664.5
61,-709.6,-709.6,-709.6,-667.7,-667.7,-667.7,-584.4,-584.4,-584.4,-701.5,-701.5,-701.5,-714.7,-714.7,-714.7,-766.4,-766.4,-766.4
62,-759.7,-759.7,-759.7,-681.1,-681.1,-681.1,-525,-525,-525,-639.2,-639.2,-639.2,-702.4,-702.4,-702.4,-716.5,-716.5,-716.5
63,-690.1,-690.1,-690.1,-765.4,-765.4,-765.4,-666,-666,-666,-728.2,-728.2,-728.2,-657.6,-657.6,-657.6,-714.5,-714.5,-714.5
64,-706.9,-706.9,-706.9,-660.5,-660.5,-660.5,-619.2,-619.2,-619.2,-734,-734,-734,-696.6,-696.6,-696.6,-653.5,-653.5,-653.5
65,-696.4,-696.4,-696.4,-766.1,-766.1,-766.1,-659.3,-659.3,-659.3,-644.5,-644.5,-644.5,-644.3,-644.3,-644.3,-759.1,-759.1,-759.1
66,-688.4,-688.4,-688.4,-684.6,-684.6,-684.6,-683.7,-683.7,-683.7,-694.8,-694.8,-694.8,-683.6,-683.6,-683.6,-671.3,-671.3,-671.3
67,-768.2,-768.2,-768.2,-670.4,-670.4,-670.4,-764.9,-764.9,-764.9,-661.2,-661.2,-661.2,-701.2,-701.2,-701.2,-618.1,-618.1,-618.1
68,-725.7,-725.7,-725.7,-665.8,-665.8,-665.8,-629.3,-629.3,-629.3,-701,-701,-701,-577.7,-577.7,-577.7,-709.6,-709.6,-709.6
69,-709.6,-709.6,-709.6,-762.6,-762.6,-762.6,-555.6,-555.6,-555.6,-652.3,-652.3,-652.3,-629.3,-629.3,-629.3,-774.1,-774.1,-774.1
70,-741.1,-741.1,-741.1,-712,-712,-712,-540.1,-540.1,-540.1,-631.9,-631.9,-631.9,-643.9,-643.9,-643.9,-732.7,-732.7,-732.7
71,-684.4,-684.4,-684.4,-731.1,-731.1,-731.1,-558.3,-558.3,-558.3,-672.9,-672.9,-672.9,-616,-616,-616,-730.8,-730.8,-730.8
72,-750,-750,-750,-712.7,-712.7,-712.7,-744.3,-744.3,-744.3,-727.1,-727.1,-727.1,-557.1,-557.1,-557.1,-694.3,-694.3,-694.3
73,-663.1,-663.1,-663.1,-705.1,-705.1,-705.1,-598.8,-598.8,-598.8,-702.3,-702.3,-702.3,-704,-704,-704,-688.9,-688.9,-688.9
74,-695.2,-695.2,-695.2,-748.1,-748.1,-748.1,-734.8,-734.8,-734.8,-689.6,-689.6,-689.6,-609.7,-609.7,-609.7,-705.4,-705.4,-705.4
75,-648.1,-648.1,-648.1,-753.2,-753.2,-753.2,-677.8,-677.8,-677.8,-716.5,-716.5,-716.5,-700.6,-700.6,-700.6,-722.5,-722.5,-722.5
76,-714.4,-714.4,-714.4,-768.2,-768.2,-768.2,-564.5,-564.5,-564.5,-735.6,-735.6,-735.6,-756.3,-756.3,-756.3,-746.1,-746.1,-746.1
77,-706.5,-706.5,-706.5,-695.3,-695.3,-695.3,-681.6,-681.6,-681.6,-702.6,-702.6,-702.6,-649.6,-649.6,-649.6,-735,-735,-735
78,-640.1,-640.1,-640.1,-681.5,-681.5,-681.5,-674.4,-674.4,-674.4,-678.8,-678.8,-678.8,-604.1,-604.1,-604.1,-726.7,-726.7,-726.7
79,-801.4,-801.4,-801.4,-697.6,-697.6,-697.6,-583,-583,-583,-802.4,-802.4,-802.4,-694,-694,-694,-751.3,-751.3,-751.3
80,-710.8,-710.8,-710.8,-767,-767,-767,-646.2,-646.2,-646.2,-721.1,-721.1,-721.1,-682.5,-682.5,-682.5,-696,-696,-696
81,-701.3,-701.3,-701.3,-648.5,-648.5,-648.5,-715.8,-715.8,-715.8,-767.4,-767.4,-767.4,-646.6,-646.6,-646.6,-735.3,-735.3,-735.3
82,-724.7,-724.7,-724.7,-708.6,-708.6,-708.6,-661.8,-661.8,-661.8,-718,-718,-718,-686.3,-686.3,-686.3,-632.9,-632.9,-632.9
83,-720.6,-720.6,-720.6,-791.5,-791.5,-791.5,-605.9,-605.9,-605.9,-630.6,-630.6,-630.6,-662.2,-662.2,-662.2,-690.5,-690.5,-690.5
84,-752,-752,-752,-741.7,-741.7,-741.7,-588.7,-588.7,-588.7,-608.4,-608.4,-608.4,-765.9,-765.9,-765.9,-693.1,-693.1,-693.1
85,-747.9,-747.9,-747.9,-682.4,-682.4,-682.4,-665.3,-665.3,-665.3,-666.6,-666.6,-666.6,-589.6,-589.6,-589.6,-685.3,-685.3,-685.3
86,-742,-742,-742,-763.5,-763.5,-763.5,-678.3,-678.3,-678.3,-640.4,-640.4,-640.4,-583,-583,-583,-613.5,-613.5,-613.5
87,-729.9,-729.9,-729.9,-692.8,-692.8,-692.8,-613.2,-613.2,-613.2,-643.8,-643.8,-643.8,-642.6,-642.6,-642.6,-700,-700,-700
88,-713.7,-713.7,-713.7,-749.9,-749.9,-749.9,-630.5,-630.5,-630.5,-772.7,-772.7,-772.7,-683.7,-683.7,-683.7,-740.7,-740.7,-740.7
89,-701.4,-701.4,-701.4,-677.7,-677.7,-677.7,-588.9,-588.9,-588.9,-709.9,-709.9,-709.9,-680.3,-680.3,-680.3,-773.4,-773.4,-773.4
90,-705.8,-705.8,-705.8,-778.4,-778.4,-778.4,-657.4,-657.4,-657.4,-662.9,-662.9,-662.9,-602,-602,-602,-700.1,-700.1,-700.1
91,-739.9,-739.9,-739.9,-714.8,-714.8,-714.8,-626.4,-626.4,-626.4,-719.4,-719.4,-719.4,-635.5,-635.5,-635.5,-717.9,-717.9,-717.9
