epoch,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return__MAX
1,-1016.6,-1016.6,-1016.6,-913.4,-913.4,-913.4,-1021.4,-1021.4,-1021.4,-796,-796,-796,-941.1,-941.1,-941.1,-906.6,-906.6,-906.6
2,-1042.5,-1042.5,-1042.5,-832.5,-832.5,-832.5,-973.4,-973.4,-973.4,-821,-821,-821,-981.2,-981.2,-981.2,-964.3,-964.3,-964.3
3,-854.4,-854.4,-854.4,-796.9,-796.9,-796.9,-898.2,-898.2,-898.2,-920.2,-920.2,-920.2,-947.8,-947.8,-947.8,-971.3,-971.3,-971.3
4,-937,-937,-937,-887.4,-887.4,-887.4,-947.9,-947.9,-947.9,-998.7,-998.7,-998.7,-924.5,-924.5,-924.5,-935.4,-935.4,-935.4
5,-960.1,-960.1,-960.1,-893.1,-893.1,-893.1,-885.4,-885.4,-885.4,-995.1,-995.1,-995.1,-924.3,-924.3,-924.3,-1032.8,-1032.8,-1032.8
6,-945.8,-945.8,-945.8,-976.3,-976.3,-976.3,-904.6,-904.6,-904.6,-888.5,-888.5,-888.5,-972.6,-972.6,-972.6,-934.9,-934.9,-934.9
7,-780.3,-780.3,-780.3,-893.2,-893.2,-893.2,-840.6,-840.6,-840.6,-903.4,-903.4,-903.4,-977.8,-977.8,-977.8,-873.7,-873.7,-873.7
8,-1037.2,-1037.2,-1037.2,-889.5,-889.5,-889.5,-992,-992,-992,-895.8,-895.8,-895.8,-963.3,-963.3,-963.3,-920.7,-920.7,-920.7
9,-927.2,-927.2,-927.2,-909.5,-909.5,-909.5,-856.8,-856.8,-856.8,-888.3,-888.3,-888.3,-824.9,-824.9,-824.9,-940.6,-940.6,-940.6
10,-793.7,-793.7,-793.7,-915,-915,-915,-961.1,-961.1,-961.1,-857.5,-857.5,-857.5,-883.7,-883.7,-883.7,-949.9,-949.9,-949.9
11,-816.2,-816.2,-816.2,-931.3,-931.3,-931.3,-983,-983,-983,-1011.8,-1011.8,-1011.8,-1059.7,-1059.7,-1059.7,-810,-810,-810
12,-952.7,-952.7,-952.7,-952.4,-952.4,-952.4,-899.3,-899.3,-899.3,-884.2,-884.2,-884.2,-921.6,-921.6,-921.6,-819.7,-819.7,-819.7
13,-895.9,-895.9,-895.9,-806.7,-806.7,-806.7,-923.8,-923.8,-923.8,-818.5,-818.5,-818.5,-858.4,-858.4,-858.4,-835.4,-835.4,-835.4
14,-893.3,-893.3,-893.3,-931,-931,-931,-860.1,-860.1,-860.1,-932.2,-932.2,-932.2,-815.1,-815.1,-815.1,-831.9,-831.9,-831.9
15,-820.4,-820.4,-820.4,-893.5,-893.5,-893.5,-938.9,-938.9,-938.9,-814.3,-814.3,-814.3,-876.8,-876.8,-876.8,-828.4,-828.4,-828.4
16,-841.4,-841.4,-841.4,-927.9,-927.9,-927.9,-873.9,-873.9,-873.9,-938.6,-938.6,-938.6,-924.2,-924.2,-924.2,-973,-973,-973
17,-732.1,-732.1,-732.1,-867.7,-867.7,-867.7,-931.4,-931.4,-931.4,-858.1,-858.1,-858.1,-834.3,-834.3,-834.3,-892.5,-892.5,-892.5
18,-880.4,-880.4,-880.4,-859.7,-859.7,-859.7,-850,-850,-850,-842.2,-842.2,-842.2,-948.3,-948.3,-948.3,-919.5,-919.5,-919.5
19,-974.9,-974.9,-974.9,-1028.3,-1028.3,-1028.3,-917.7,-917.7,-917.7,-936.1,-936.1,-936.1,-869.4,-869.4,-869.4,-962.6,-962.6,-962.6
20,-931,-931,-931,-895.1,-895.1,-895.1,-892.2,-892.2,-892.2,-842.8,-842.8,-842.8,-803.4,-803.4,-803.4,-764.1,-764.1,-764.1
21,-770.3,-770.3,-770.3,-917.6,-917.6,-917.6,-910.1,-910.1,-910.1,-958.6,-958.6,-958.6,-939.2,-939.2,-939.2,-811.7,-811.7,-811.7
22,-787.8,-787.8,-787.8,-952.5,-952.5,-952.5,-872.7,-872.7,-872.7,-903.4,-903.4,-903.4,-858.3,-858.3,-858.3,-782.7,-782.7,-782.7
23,-863.7,-863.7,-863.7,-887.9,-887.9,-887.9,-976.2,-976.2,-976.2,-932.8,-932.8,-932.8,-921.4,-921.4,-921.4,-917.3,-917.3,-917.3
24,-815.1,-815.1,-815.1,-864.5,-864.5,-864.5,-924.8,-924.8,-924.8,-793.4,-793.4,-793.4,-973.1,-973.1,-973.1,-929.3,-929.3,-929.3
25,-889.9,-889.9,-889.9,-876.6,-876.6,-876.6,-913.5,-913.5,-913.5,-950.3,-950.3,-950.3,-904.1,-904.1,-904.1,-906.5,-906.5,-906.5
26,-767.9,-767.9,-767.9,-910.1,-910.1,-910.1,-889.5,-889.5,-889.5,-822,-822,-822,-811,-811,-811,-785.5,-785.5,-785.5
27,-842.2,-842.2,-842.2,-945.4,-945.4,-945.4,-950.7,-950.7,-950.7,-1010.6,-1010.6,-1010.6,-940.7,-940.7,-940.7,-830.5,-830.5,-830.5
28,-855.3,-855.3,-855.3,-939.6,-939.6,-939.6,-956.5,-956.5,-956.5,-773.1,-773.1,-773.1,-980.6,-980.6,-980.6,-955.2,-955.2,-955.2
29,-883.3,-883.3,-883.3,-981.2,-981.2,-981.2,-901.7,-901.7,-901.7,-847.2,-847.2,-847.2,-830.7,-830.7,-830.7,-886.1,-886.1,-886.1
30,-783,-783,-783,-841.9,-841.9,-841.9,-844.9,-844.9,-844.9,-870.5,-870.5,-870.5,-813.1,-813.1,-813.1,-853.3,-853.3,-853.3
31,-883.2,-883.2,-883.2,-951.9,-951.9,-951.9,-908.9,-908.9,-908.9,-839.2,-839.2,-839.2,-880,-880,-880,-842.4,-842.4,-842.4
32,-807.4,-807.4,-807.4,-849.8,-849.8,-849.8,-1010.6,-1010.6,-1010.6,-774.6,-774.6,-774.6,-898,-898,-898,-855.3,-855.3,-855.3
33,-931.2,-931.2,-931.2,-999.5,-999.5,-999.5,-881.8,-881.8,-881.8,-902.9,-902.9,-902.9,-1022.6,-1022.6,-1022.6,-940,-940,-940
34,-935.1,-935.1,-935.1,-992.6,-992.6,-992.6,-828.2,-828.2,-828.2,-894.2,-894.2,-894.2,-832.6,-832.6,-832.6,-815.8,-815.8,-815.8
35,-852.7,-852.7,-852.7,-848.8,-848.8,-848.8,-865.2,-865.2,-865.2,-778.2,-778.2,-778.2,-858.2,-858.2,-858.2,-856.2,-856.2,-856.2
36,-823.1,-823.1,-823.1,-946.2,-946.2,-946.2,-946.4,-946.4,-946.4,-825.1,-825.1,-825.1,-799.1,-799.1,-799.1,-893.1,-893.1,-893.1
37,-832.7,-832.7,-832.7,-934.4,-934.4,-934.4,-890.4,-890.4,-890.4,-859,-859,-859,-904.7,-904.7,-904.7,-897.6,-897.6,-897.6
38,-870.5,-870.5,-870.5,-1039.4,-1039.4,-1039.4,-868.1,-868.1,-868.1,-836.4,-836.4,-836.4,-959.3,-959.3,-959.3,-832,-832,-832
39,-817.3,-817.3,-817.3,-937.6,-937.6,-937.6,-939.5,-939.5,-939.5,-871.9,-871.9,-871.9,-905.9,-905.9,-905.9,-945.2,-945.2,-945.2
40,-921.8,-921.8,-921.8,-1017.8,-1017.8,-1017.8,-901.6,-901.6,-901.6,-806.1,-806.1,-806.1,-927.5,-927.5,-927.5,-829.9,-829.9,-829.9
41,-876,-876,-876,-949.5,-949.5,-949.5,-862.6,-862.6,-862.6,-693.7,-693.7,-693.7,-854.8,-854.8,-854.8,-778.5,-778.5,-778.5
42,-844.9,-844.9,-844.9,-862.5,-862.5,-862.5,-922.4,-922.4,-922.4,-851.3,-851.3,-851.3,-883.9,-883.9,-883.9,-807.5,-807.5,-807.5
43,-899.9,-899.9,-899.9,-924.1,-924.1,-924.1,-965.7,-965.7,-965.7,-827.5,-827.5,-827.5,-871.6,-871.6,-871.6,-875.3,-875.3,-875.3
44,-802.9,-802.9,-802.9,-853.7,-853.7,-853.7,-1020.7,-1020.7,-1020.7,-915,-915,-915,-913.2,-913.2,-913.2,-764.5,-764.5,-764.5
45,-916.5,-916.5,-916.5,-979.1,-979.1,-979.1,-920,-920,-920,-767.2,-767.2,-767.2,-837,-837,-837,-840.3,-840.3,-840.3
46,-860.2,-860.2,-860.2,-952.6,-952.6,-952.6,-880.6,-880.6,-880.6,-827.6,-827.6,-827.6,-788.5,-788.5,-788.5,-868.6,-868.6,-868.6
47,-885.7,-885.7,-885.7,-901.5,-901.5,-901.5,-947,-947,-947,-724.5,-724.5,-724.5,-937.6,-937.6,-937.6,-826.7,-826.7,-826.7
48,-835.1,-835.1,-835.1,-840.2,-840.2,-840.2,-885.8,-885.8,-885.8,-834.6,-834.6,-834.6,-913.3,-913.3,-913.3,-850,-850,-850
49,-753.9,-753.9,-753.9,-937.5,-937.5,-937.5,-951.9,-951.9,-951.9,-804.8,-804.8,-804.8,-955,-955,-955,-931.4,-931.4,-931.4
50,-889,-889,-889,-972.9,-972.9,-972.9,-933.2,-933.2,-933.2,-787.4,-787.4,-787.4,-918.7,-918.7,-918.7,-814.4,-814.4,-814.4
51,-800.3,-800.3,-800.3,-891,-891,-891,-880.9,-880.9,-880.9,-816.5,-816.5,-816.5,-766.3,-766.3,-766.3,-766.4,-766.4,-766.4
52,-883,-883,-883,-849.3,-849.3,-849.3,-955.4,-955.4,-955.4,-799,-799,-799,-918.7,-918.7,-918.7,-816.1,-816.1,-816.1
53,-927.3,-927.3,-927.3,-951.1,-951.1,-951.1,-874.7,-874.7,-874.7,-712.2,-712.2,-712.2,-966.8,-966.8,-966.8,-814.2,-814.2,-814.2
54,-827.3,-827.3,-827.3,-997.9,-997.9,-997.9,-902.7,-902.7,-902.7,-798.3,-798.3,-798.3,-965.9,-965.9,-965.9,-726.4,-726.4,-726.4
55,-857.8,-857.8,-857.8,-861.2,-861.2,-861.2,-866.9,-866.9,-866.9,-847.1,-847.1,-847.1,-944.5,-944.5,-944.5,-788.2,-788.2,-788.2
56,-808.7,-808.7,-808.7,-892.1,-892.1,-892.1,-852.2,-852.2,-852.2,-759.1,-759.1,-759.1,-945.7,-945.7,-945.7,-769.8,-769.8,-769.8
57,-890.7,-890.7,-890.7,-997.3,-997.3,-997.3,-953.9,-953.9,-953.9,-758.8,-758.8,-758.8,-924,-924,-924,-857.7,-857.7,-857.7
58,-874.7,-874.7,-874.7,-985.5,-985.5,-985.5,-843.3,-843.3,-843.3,-882.5,-882.5,-882.5,-915.8,-915.8,-915.8,-741.5,-741.5,-741.5
59,-893.3,-893.3,-893.3,-1021.3,-1021.3,-1021.3,-877.8,-877.8,-877.8,-677.2,-677.2,-677.2,-904.2,-904.2,-904.2,-809.3,-809.3,-809.3
60,-815.5,-815.5,-815.5,-921.4,-921.4,-921.4,-835.2,-835.2,-835.2,-764.8,-764.8,-764.8,-960.9,-960.9,-960.9,-935.9,-935.9,-935.9
61,-752.3,-752.3,-752.3,-952.2,-952.2,-952.2,-984.1,-984.1,-984.1,-760,-760,-760,-856.1,-856.1,-856.1,-850.4,-850.4,-850.4
62,-817.9,-817.9,-817.9,-897.1,-897.1,-897.1,-928.4,-928.4,-928.4,-768.1,-768.1,-768.1,-866.5,-866.5,-866.5,-874.5,-874.5,-874.5
63,-811.7,-811.7,-811.7,-808.5,-808.5,-808.5,-926.3,-926.3,-926.3,-829,-829,-829,-827.9,-827.9,-827.9,-834,-834,-834
64,-804.2,-804.2,-804.2,-889.1,-889.1,-889.1,-857.9,-857.9,-857.9,-930.4,-930.4,-930.4,-877.5,-877.5,-877.5,-788.2,-788.2,-788.2
65,-958,-958,-958,-832.4,-832.4,-832.4,-925.5,-925.5,-925.5,-773.5,-773.5,-773.5,-903.7,-903.7,-903.7,-735.3,-735.3,-735.3
66,-858.3,-858.3,-858.3,-916.7,-916.7,-916.7,-878.9,-878.9,-878.9,-709.6,-709.6,-709.6,-941.5,-941.5,-941.5,-810,-810,-810
67,-733.2,-733.2,-733.2,-945.6,-945.6,-945.6,-880.1,-880.1,-880.1,-788,-788,-788,-873.6,-873.6,-873.6,-841.6,-841.6,-841.6
68,-749.2,-749.2,-749.2,-887.2,-887.2,-887.2,-832.6,-832.6,-832.6,-791.3,-791.3,-791.3,-821.6,-821.6,-821.6,-680.1,-680.1,-680.1
69,-816,-816,-816,-889.4,-889.4,-889.4,-887.9,-887.9,-887.9,-696,-696,-696,-793.7,-793.7,-793.7,-706.6,-706.6,-706.6
70,-829.1,-829.1,-829.1,-795.3,-795.3,-795.3,-873.4,-873.4,-873.4,-922.6,-922.6,-922.6,-975.7,-975.7,-975.7,-858.7,-858.7,-858.7
71,-710,-710,-710,-884.6,-884.6,-884.6,-909,-909,-909,-752.9,-752.9,-752.9,-845.9,-845.9,-845.9,-773.7,-773.7,-773.7
72,-779.4,-779.4,-779.4,-949.6,-949.6,-949.6,-939.2,-939.2,-939.2,-807.4,-807.4,-807.4,-783,-783,-783,-837.5,-837.5,-837.5
73,-836,-836,-836,-992.9,-992.9,-992.9,-900.6,-900.6,-900.6,-796.7,-796.7,-796.7,-832.5,-832.5,-832.5,-713.5,-713.5,-713.5
74,-795.3,-795.3,-795.3,-979.4,-979.4,-979.4,-885.1,-885.1,-885.1,-724.1,-724.1,-724.1,-901.1,-901.1,-901.1,-789.5,-789.5,-789.5
75,-882.3,-882.3,-882.3,-983.7,-983.7,-983.7,-865.9,-865.9,-865.9,-718.3,-718.3,-718.3,-857.8,-857.8,-857.8,-801,-801,-801
76,-899,-899,-899,-952.8,-952.8,-952.8,-991.8,-991.8,-991.8,-705.2,-705.2,-705.2,-907.9,-907.9,-907.9,-726.2,-726.2,-726.2
77,-803.6,-803.6,-803.6,-920.4,-920.4,-920.4,-947.8,-947.8,-947.8,-818.8,-818.8,-818.8,-921.3,-921.3,-921.3,-733.7,-733.7,-733.7
78,-816.4,-816.4,-816.4,-831.9,-831.9,-831.9,-876.1,-876.1,-876.1,-827.4,-827.4,-827.4,-829.2,-829.2,-829.2,-848.7,-848.7,-848.7
79,-782,-782,-782,-972.7,-972.7,-972.7,-835.8,-835.8,-835.8,-725.7,-725.7,-725.7,-944,-944,-944,-724.9,-724.9,-724.9
80,-815.2,-815.2,-815.2,-977.7,-977.7,-977.7,-927,-927,-927,-738.3,-738.3,-738.3,-952,-952,-952,-814.7,-814.7,-814.7
81,-811.6,-811.6,-811.6,-893.7,-893.7,-893.7,-845.8,-845.8,-845.8,-732,-732,-732,-977.2,-977.2,-977.2,-712.8,-712.8,-712.8
