epoch,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MAX
1,-2.105263158,-2.105263158,-2.105263158,9.684210526,9.684210526,9.684210526,18.63157895,18.63157895,18.63157895,6.368421053,6.368421053,6.368421053,8.684210526,8.684210526,8.684210526,11.42105263,11.42105263,11.42105263
2,-2,-2,-2,49.73684211,49.73684211,49.73684211,42.42105263,42.42105263,42.42105263,6.894736842,6.894736842,6.894736842,31.15789474,31.15789474,31.15789474,-2.105263158,-2.105263158,-2.105263158
3,4.052631579,4.052631579,4.052631579,3.421052632,3.421052632,3.421052632,-8.631578947,-8.631578947,-8.631578947,19,19,19,13.36842105,13.36842105,13.36842105,7.368421053,7.368421053,7.368421053
4,14.10526316,14.10526316,14.10526316,24.94736842,24.94736842,24.94736842,2.105263158,2.105263158,2.105263158,12.52631579,12.52631579,12.52631579,46.47368421,46.47368421,46.47368421,14.31578947,14.31578947,14.31578947
5,13.31578947,13.31578947,13.31578947,25.15789474,25.15789474,25.15789474,18.21052632,18.21052632,18.21052632,6.473684211,6.473684211,6.473684211,3.526315789,3.526315789,3.526315789,16.36842105,16.36842105,16.36842105
6,-4,-4,-4,38.47368421,38.47368421,38.47368421,30.84210526,30.84210526,30.84210526,15.47368421,15.47368421,15.47368421,29.73684211,29.73684211,29.73684211,12.36842105,12.36842105,12.36842105
7,18.31578947,18.31578947,18.31578947,64.47368421,64.47368421,64.47368421,5.105263158,5.105263158,5.105263158,6.157894737,6.157894737,6.157894737,30.84210526,30.84210526,30.84210526,6.157894737,6.157894737,6.157894737
8,3.842105263,3.842105263,3.842105263,37.94736842,37.94736842,37.94736842,35.52631579,35.52631579,35.52631579,31.68421053,31.68421053,31.68421053,29,29,29,9.789473684,9.789473684,9.789473684
9,9.473684211,9.473684211,9.473684211,34.84210526,34.84210526,34.84210526,27.42105263,27.42105263,27.42105263,35.31578947,35.31578947,35.31578947,25,25,25,15.47368421,15.47368421,15.47368421
10,7.210526316,7.210526316,7.210526316,55.94736842,55.94736842,55.94736842,14.73684211,14.73684211,14.73684211,22.94736842,22.94736842,22.94736842,26.05263158,26.05263158,26.05263158,-4,-4,-4
11,-11.26315789,-11.26315789,-11.26315789,30.68421053,30.68421053,30.68421053,29.73684211,29.73684211,29.73684211,10.73684211,10.73684211,10.73684211,40.31578947,40.31578947,40.31578947,-1.210526316,-1.210526316,-1.210526316
12,-0.105263158,-0.105263158,-0.105263158,33,33,33,9,9,9,19.05263158,19.05263158,19.05263158,52.73684211,52.73684211,52.73684211,18.15789474,18.15789474,18.15789474
13,17.26315789,17.26315789,17.26315789,30.78947368,30.78947368,30.78947368,39.63157895,39.63157895,39.63157895,12.15789474,12.15789474,12.15789474,35.52631579,35.52631579,35.52631579,35,35,35
14,9.736842105,9.736842105,9.736842105,29.68421053,29.68421053,29.68421053,23.63157895,23.63157895,23.63157895,32.63157895,32.63157895,32.63157895,41.05263158,41.05263158,41.05263158,32.78947368,32.78947368,32.78947368
15,1.526315789,1.526315789,1.526315789,18.78947368,18.78947368,18.78947368,14.68421053,14.68421053,14.68421053,8.210526316,8.210526316,8.210526316,22.73684211,22.73684211,22.73684211,15.31578947,15.31578947,15.31578947
16,22.21052632,22.21052632,22.21052632,44.52631579,44.52631579,44.52631579,26.52631579,26.52631579,26.52631579,18.47368421,18.47368421,18.47368421,63.47368421,63.47368421,63.47368421,56.26315789,56.26315789,56.26315789
17,6.684210526,6.684210526,6.684210526,23.21052632,23.21052632,23.21052632,34,34,34,10.26315789,10.26315789,10.26315789,39.68421053,39.68421053,39.68421053,65.52631579,65.52631579,65.52631579
