epoch,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX
1,22.31578947,22.31578947,22.31578947,51.63157895,51.63157895,51.63157895,41.21052632,41.21052632,41.21052632,15.42105263,15.42105263,15.42105263,27.21052632,27.21052632,27.21052632,43.05263158,43.05263158,43.05263158
2,74.63157895,74.63157895,74.63157895,8.789473684,8.789473684,8.789473684,30.73684211,30.73684211,30.73684211,33.31578947,33.31578947,33.31578947,56.63157895,56.63157895,56.63157895,21.78947368,21.78947368,21.78947368
3,59.68421053,59.68421053,59.68421053,71.26315789,71.26315789,71.26315789,34.84210526,34.84210526,34.84210526,103.6315789,103.6315789,103.6315789,41.05263158,41.05263158,41.05263158,54.94736842,54.94736842,54.94736842
4,62.89473684,62.89473684,62.89473684,91.57894737,91.57894737,91.57894737,64.26315789,64.26315789,64.26315789,46.63157895,46.63157895,46.63157895,11.10526316,11.10526316,11.10526316,50.89473684,50.89473684,50.89473684
5,-9.315789474,-9.315789474,-9.315789474,70.84210526,70.84210526,70.84210526,55.36842105,55.36842105,55.36842105,116.0526316,116.0526316,116.0526316,54.63157895,54.63157895,54.63157895,64.94736842,64.94736842,64.94736842
6,39.52631579,39.52631579,39.52631579,104.1052632,104.1052632,104.1052632,68,68,68,73.15789474,73.15789474,73.15789474,43.36842105,43.36842105,43.36842105,60.36842105,60.36842105,60.36842105
7,76.26315789,76.26315789,76.26315789,78.42105263,78.42105263,78.42105263,47,47,47,113.1052632,113.1052632,113.1052632,37.63157895,37.63157895,37.63157895,82.57894737,82.57894737,82.57894737
8,62.42105263,62.42105263,62.42105263,144.3684211,144.3684211,144.3684211,62.57894737,62.57894737,62.57894737,60.52631579,60.52631579,60.52631579,50.05263158,50.05263158,50.05263158,56.52631579,56.52631579,56.52631579
9,60.89473684,60.89473684,60.89473684,79,79,79,86.68421053,86.68421053,86.68421053,68.10526316,68.10526316,68.10526316,58.63157895,58.63157895,58.63157895,21.57894737,21.57894737,21.57894737
10,50.15789474,50.15789474,50.15789474,164.7894737,164.7894737,164.7894737,54.68421053,54.68421053,54.68421053,30.94736842,30.94736842,30.94736842,52.15789474,52.15789474,52.15789474,43.10526316,43.10526316,43.10526316
11,75.73684211,75.73684211,75.73684211,111.6315789,111.6315789,111.6315789,75.05263158,75.05263158,75.05263158,23.47368421,23.47368421,23.47368421,16.94736842,16.94736842,16.94736842,59.84210526,59.84210526,59.84210526
12,100.8421053,100.8421053,100.8421053,86.84210526,86.84210526,86.84210526,33.42105263,33.42105263,33.42105263,90.21052632,90.21052632,90.21052632,54.05263158,54.05263158,54.05263158,66.68421053,66.68421053,66.68421053
13,96.63157895,96.63157895,96.63157895,127.7894737,127.7894737,127.7894737,83.73684211,83.73684211,83.73684211,78.36842105,78.36842105,78.36842105,57.47368421,57.47368421,57.47368421,99.42105263,99.42105263,99.42105263
14,81.73684211,81.73684211,81.73684211,133.1578947,133.1578947,133.1578947,48.89473684,48.89473684,48.89473684,61.52631579,61.52631579,61.52631579,32.21052632,32.21052632,32.21052632,57.63157895,57.63157895,57.63157895
15,28.10526316,28.10526316,28.10526316,164.8421053,164.8421053,164.8421053,67.26315789,67.26315789,67.26315789,28.78947368,28.78947368,28.78947368,67.15789474,67.15789474,67.15789474,50.15789474,50.15789474,50.15789474
16,60.68421053,60.68421053,60.68421053,130.7894737,130.7894737,130.7894737,39.31578947,39.31578947,39.31578947,71.36842105,71.36842105,71.36842105,58.31578947,58.31578947,58.31578947,130.3157895,130.3157895,130.3157895
17,88.89473684,88.89473684,88.89473684,151.6315789,151.6315789,151.6315789,119.8421053,119.8421053,119.8421053,54.84210526,54.84210526,54.84210526,48.31578947,48.31578947,48.31578947,85.05263158,85.05263158,85.05263158
18,91.15789474,91.15789474,91.15789474,184.5263158,184.5263158,184.5263158,70.78947368,70.78947368,70.78947368,43.52631579,43.52631579,43.52631579,41.63157895,41.63157895,41.63157895,136,136,136
19,119.4210526,119.4210526,119.4210526,173.4736842,173.4736842,173.4736842,57.21052632,57.21052632,57.21052632,56.78947368,56.78947368,56.78947368,80.05263158,80.05263158,80.05263158,121.0526316,121.0526316,121.0526316
20,95.63157895,95.63157895,95.63157895,182.0526316,182.0526316,182.0526316,137.6842105,137.6842105,137.6842105,37.84210526,37.84210526,37.84210526,89.73684211,89.73684211,89.73684211,89.42105263,89.42105263,89.42105263
21,143.8421053,143.8421053,143.8421053,137.3157895,137.3157895,137.3157895,85.05263158,85.05263158,85.05263158,36.42105263,36.42105263,36.42105263,67.26315789,67.26315789,67.26315789,112,112,112
22,48.89473684,48.89473684,48.89473684,145.6315789,145.6315789,145.6315789,79.21052632,79.21052632,79.21052632,79.78947368,79.78947368,79.78947368,31.05263158,31.05263158,31.05263158,86.42105263,86.42105263,86.42105263
23,124.2105263,124.2105263,124.2105263,181.2105263,181.2105263,181.2105263,140.1578947,140.1578947,140.1578947,17.57894737,17.57894737,17.57894737,87.47368421,87.47368421,87.47368421,128.7894737,128.7894737,128.7894737
24,107.6842105,107.6842105,107.6842105,213.1052632,213.1052632,213.1052632,65.89473684,65.89473684,65.89473684,33.10526316,33.10526316,33.10526316,72.94736842,72.94736842,72.94736842,107.5789474,107.5789474,107.5789474
25,75.10526316,75.10526316,75.10526316,223.2105263,223.2105263,223.2105263,113.9473684,113.9473684,113.9473684,47.26315789,47.26315789,47.26315789,99.57894737,99.57894737,99.57894737,118.5263158,118.5263158,118.5263158
26,127.8947368,127.8947368,127.8947368,218.5263158,218.5263158,218.5263158,110.1052632,110.1052632,110.1052632,34.78947368,34.78947368,34.78947368,74.15789474,74.15789474,74.15789474,111.7368421,111.7368421,111.7368421
