epoch,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MAX
1,-568,-568,-568,-636.5,-636.5,-636.5
2,-664.5,-664.5,-664.5,-549.5,-549.5,-549.5
3,-631,-631,-631,-526,-526,-526
4,-454,-454,-454,-780,-780,-780
5,-480,-480,-480,-674,-674,-674
6,-523,-523,-523,-621,-621,-621
7,-370.5,-370.5,-370.5,-641,-641,-641
8,-499,-499,-499,-491.5,-491.5,-491.5
9,-572,-572,-572,-579,-579,-579
10,-541,-541,-541,-435.5,-435.5,-435.5
11,-535.5,-535.5,-535.5,-471,-471,-471
12,-489,-489,-489,-384.5,-384.5,-384.5
13,-587.5,-587.5,-587.5,-677.5,-677.5,-677.5
14,-591,-591,-591,-391,-391,-391
15,-573.5,-573.5,-573.5,-455.5,-455.5,-455.5
16,-506,-506,-506,-582.5,-582.5,-582.5
17,-581.5,-581.5,-581.5,-533,-533,-533
18,-485,-485,-485,-626,-626,-626
19,-594,-594,-594,-464.5,-464.5,-464.5
20,-528.5,-528.5,-528.5,-613,-613,-613
21,-386.5,-386.5,-386.5,-482.5,-482.5,-482.5
22,-588.5,-588.5,-588.5,-547,-547,-547
23,-589,-589,-589,-540.5,-540.5,-540.5
24,-628.5,-628.5,-628.5,-580,-580,-580
25,-413.5,-413.5,-413.5,-605,-605,-605
26,-534,-534,-534,-660,-660,-660
27,-567,-567,-567,-477,-477,-477
28,-428,-428,-428,-497.5,-497.5,-497.5
29,-378.5,-378.5,-378.5,-678.5,-678.5,-678.5
30,-497.5,-497.5,-497.5,-572,-572,-572
31,-571,-571,-571,-568.5,-568.5,-568.5
32,-456,-456,-456,-447.5,-447.5,-447.5
33,-439.5,-439.5,-439.5,-548.5,-548.5,-548.5
34,-472.5,-472.5,-472.5,-595.5,-595.5,-595.5
35,-634,-634,-634,-628.5,-628.5,-628.5
36,-287,-287,-287,-552.5,-552.5,-552.5
37,-482,-482,-482,-459.5,-459.5,-459.5
38,-464.5,-464.5,-464.5,-512.5,-512.5,-512.5
39,-523,-523,-523,-453.5,-453.5,-453.5
40,-522,-522,-522,-517,-517,-517
41,-631.5,-631.5,-631.5,-467,-467,-467
42,-719,-719,-719,-425.5,-425.5,-425.5
43,-441,-441,-441,-534,-534,-534
44,-567,-567,-567,-603,-603,-603
45,-522,-522,-522,-604.5,-604.5,-604.5
46,-457.5,-457.5,-457.5,-562,-562,-562
47,-432,-432,-432,-413,-413,-413
48,-589.5,-589.5,-589.5,-595,-595,-595
49,-540.5,-540.5,-540.5,-450,-450,-450
50,-598.5,-598.5,-598.5,-660,-660,-660
51,-679,-679,-679,-609.5,-609.5,-609.5
52,-447.5,-447.5,-447.5,-731,-731,-731
53,-536.5,-536.5,-536.5,-604.5,-604.5,-604.5
54,-476.5,-476.5,-476.5,-525,-525,-525
55,-540,-540,-540,-493.5,-493.5,-493.5
56,-477.5,-477.5,-477.5,-488,-488,-488
57,-555,-555,-555,-542.5,-542.5,-542.5
